id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.439615,0,0,0,1928960,0,0,0,1
1,0.444,0.999742,256,0.25,8,0,0,0,0,0
2,1.401,0.001696,0,0,0,4384,0,0,0,1
3,1.421,0.083392,17920,1,14,0,0,0,0,0
4,1.507,0.084799,4096,1.0,13,0,0,0,0,0
5,1.596,4.130776,1024,0.25,13,0,0,0,0,0
6,5.08,0.001664,0,0,0,4384,0,0,0,1
7,5.104,0.08368,17920,1,14,0,0,0,0,0
8,5.19,0.084703,4096,1.0,13,0,0,0,0,0
9,5.277,3.994295,256,0.25,8,0,0,0,0,0
10,9.047,0.001664,0,0,0,4384,0,0,0,1
11,9.077,0.083744,17920,1,14,0,0,0,0,0
12,9.162,0.084832,4096,1.0,13,0,0,0,0,0
13,9.251,3.988086,256,0.25,8,0,0,0,0,0
14,13.012,0.001664,0,0,0,4384,0,0,0,1
15,13.038,0.083136,17920,1,14,0,0,0,0,0
16,13.123,0.084512,4096,1.0,13,0,0,0,0,0
17,13.21,4.133239,1024,0.25,13,0,0,0,0,0
18,16.73,0.001696,0,0,0,4384,0,0,0,1
19,16.736,0.083296,17920,1,14,0,0,0,0,0
20,16.821,0.084672,4096,1.0,13,0,0,0,0,0
21,16.908,4.128375,1024,0.25,13,0,0,0,0,0
22,20.429,0.001664,0,0,0,4384,0,0,0,1
23,20.434,0.083296,17920,1,14,0,0,0,0,0
24,20.52,0.0848,4096,1.0,13,0,0,0,0,0
25,20.609,3.195705,216,0.25,14,0,0,0,0,0
26,23.741,0.001696,0,0,0,4384,0,0,0,1
27,23.746,0.0792,15120,1,15,0,0,0,0,0
28,23.831,1.842652,0,0,0,7479104,0,0,0,2
