id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.001472,0,0,0,0,0,0,0,0
1,0.45,0.001376,0,0,0,0,0,0,0,0
2,0.819,0.001376,0,0,0,0,0,0,0,0
3,1.339,0.001408,0,0,0,0,0,0,0,0
4,1.721,0.028928,0,0,0,262148,1,0,0,1
5,2.144,1.205594,0,0,0,4456516,0,0,0,1
6,3.357,0.142368,32768,1.0,15,0,0,0,0,0
7,3.52,0.028191,0,0,0,262144,1,0,0,2
8,3.916,0.00144,0,0,0,0,0,0,0,0
9,3.959,0.00128,0,0,0,0,0,0,0,0
10,4.212,0.001568,0,0,0,68,0,0,0,1
11,4.574,1.243067,0,0,0,4456516,0,0,0,1
12,6.178,1.172027,0,0,0,4456516,0,0,0,1
13,7.357,0.345438,32768,1.0,15,0,0,0,0,0
14,7.707,0.028224,0,0,0,262148,1,0,0,2
15,7.906,1.456506,0,0,0,4456516,0,0,0,2
16,9.933,0.001792,0,0,0,0,0,0,0,0
17,10.313,0.001376,0,0,0,0,0,0,0,0
18,10.338,0.00128,0,0,0,0,0,0,0,0
19,10.679,0.001376,0,0,0,0,0,0,0,0
20,11.019,0.001408,0,0,0,0,0,0,0,0
21,11.361,0.001408,0,0,0,0,0,0,0,0
