id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.001408,0,1,0,0,0,0,0,0
1,0.607,2.435895,0,0,0,8000000,0,0,0,1
2,3.05,0.001536,0,1,0,0,0,0,0,0
3,3.626,7.876738,0,0,0,23999880,0,0,0,1
4,11.51,0.001632,0,1,0,0,0,0,0,0
5,12.156,0.099167,0,0,0,1000000,1,0,0,1
6,12.262,0.001376,0,1,0,0,0,0,0,0
7,12.76,0.099712,0,0,0,1000000,1,0,0,1
8,12.866,0.001344,0,1,0,0,0,0,0,0
9,13.365,0.099136,0,0,0,1000000,1,0,0,1
10,17.835,0.001344,0,1,0,0,0,0,0,0
11,18.393,0.985756,0,0,0,4000000,0,0,0,1
12,19.386,0.001568,0,1,0,0,0,0,0,0
13,19.397,0.001184,0,0,0,1,0,0,0,1
14,19.418,0.037312,31264,1,15,0,0,0,0,0
15,19.458,0.037984,31264,1,15,0,0,0,0,0
16,19.501,0.003136,0,0,0,1,0,0,0,2
17,19.521,0.001152,0,0,0,1,0,0,0,1
18,19.535,0.048735,31264,1,15,0,0,0,0,0
19,19.587,0.038016,31264,1,15,0,0,0,0,0
20,19.63,0.003008,0,0,0,1,0,0,0,2
21,19.648,0.001184,0,0,0,1,0,0,0,1
22,19.663,0.045664,31264,1,15,0,0,0,0,0
23,19.712,0.038112,31264,1,15,0,0,0,0,0
24,19.755,0.002624,0,0,0,1,0,0,0,2
25,19.772,0.001184,0,0,0,1,0,0,0,1
26,19.787,0.057567,31264,1,15,0,0,0,0,0
27,19.848,0.038336,31264,1,15,0,0,0,0,0
28,19.891,0.002592,0,0,0,1,0,0,0,2
29,19.908,0.001184,0,0,0,1,0,0,0,1
30,19.923,0.073216,31264,1,15,0,0,0,0,0
31,20.0,0.040736,31264,1,15,0,0,0,0,0
32,20.045,0.002816,0,0,0,1,0,0,0,2
33,20.063,0.001184,0,0,0,1,0,0,0,1
34,20.077,0.156576,31264,1,15,0,0,0,0,0
35,20.237,0.043328,31264,1,15,0,0,0,0,0
36,20.285,0.002752,0,0,0,1,0,0,0,2
37,20.302,0.001152,0,0,0,1,0,0,0,1
38,20.317,0.40339,31264,1,15,0,0,0,0,0
39,20.724,0.0616,31264,1,15,0,0,0,0,0
40,20.79,0.002752,0,0,0,1,0,0,0,2
41,20.808,0.001152,0,0,0,1,0,0,0,1
42,20.822,0.90246,31264,1,15,0,0,0,0,0
43,21.728,0.062496,31264,1,15,0,0,0,0,0
44,21.795,0.002784,0,0,0,1,0,0,0,2
45,21.815,0.001184,0,0,0,1,0,0,0,1
46,21.831,1.786585,31264,1,15,0,0,0,0,0
47,23.621,0.062528,31264,1,15,0,0,0,0,0
48,23.692,0.002784,0,0,0,1,0,0,0,2
49,23.711,0.001152,0,0,0,1,0,0,0,1
50,23.726,0.688894,31264,1,15,0,0,0,0,0
51,24.418,0.042976,31264,1,15,0,0,0,0,0
52,24.466,0.002752,0,0,0,1,0,0,0,2
53,24.484,0.001184,0,0,0,1,0,0,0,1
54,24.499,0.149215,31264,1,15,0,0,0,0,0
55,24.651,0.038208,31264,1,15,0,0,0,0,0
56,24.694,0.00272,0,0,0,1,0,0,0,2
57,24.712,0.001184,0,0,0,1,0,0,0,1
58,24.727,0.038688,31264,1,15,0,0,0,0,0
59,24.769,0.037951,31264,1,15,0,0,0,0,0
60,24.812,0.002752,0,0,0,1,0,0,0,2
61,24.83,0.789245,0,0,0,4000000,0,0,0,2
62,26.025,0.001824,0,1,0,0,0,0,0,0
63,26.416,0.001408,0,1,0,0,0,0,0,0
64,26.767,0.001376,0,1,0,0,0,0,0,0
65,27.102,0.001376,0,1,0,0,0,0,0,0
66,27.438,0.001376,0,1,0,0,0,0,0,0
67,27.772,0.001408,0,1,0,0,0,0,0,0
