id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.815582,0,0,0,8000000,1,0,0,1
1,0.882,2.42182,0,0,0,23999880,1,0,0,1
2,3.671,0.103904,0,0,0,1000000,1,0,0,1
3,4.152,0.103808,0,0,0,1000000,1,0,0,1
4,4.639,0.103904,0,0,0,1000000,1,0,0,1
5,9.502,1.060926,0,0,0,4000000,0,0,0,1
6,10.579,0.001088,0,0,0,1,0,0,0,1
7,10.603,0.036928,31264,1.0,15,0,0,0,0,0
8,10.643,0.037664,31264,1.0,15,0,0,0,0,0
9,10.687,0.002976,0,0,0,1,0,0,0,2
10,10.71,0.00112,0,0,0,1,0,0,0,1
11,10.732,0.047648,31264,1.0,15,0,0,0,0,0
12,10.782,0.037632,31264,1.0,15,0,0,0,0,0
13,10.825,0.002848,0,0,0,1,0,0,0,2
14,10.847,0.001088,0,0,0,1,0,0,0,1
15,10.866,0.045152,31264,1.0,15,0,0,0,0,0
16,10.914,0.037824,31264,1.0,15,0,0,0,0,0
17,10.959,0.002464,0,0,0,1,0,0,0,2
18,10.982,0.001088,0,0,0,1,0,0,0,1
19,11.003,0.057056,31264,1.0,15,0,0,0,0,0
20,11.062,0.038048,31264,1.0,15,0,0,0,0,0
21,11.107,0.002464,0,0,0,1,0,0,0,2
22,11.129,0.001088,0,0,0,1,0,0,0,1
23,11.149,0.073951,31264,1.0,15,0,0,0,0,0
24,11.226,0.04048,31264,1.0,15,0,0,0,0,0
25,11.276,0.002624,0,0,0,1,0,0,0,2
26,11.298,0.00112,0,0,0,1,0,0,0,1
27,11.32,0.157952,31264,1.0,15,0,0,0,0,0
28,11.481,0.042944,31264,1.0,15,0,0,0,0,0
29,11.526,0.002624,0,0,0,1,0,0,0,2
30,11.548,0.00112,0,0,0,1,0,0,0,1
31,11.568,0.409471,31264,1.0,15,0,0,0,0,0
32,11.98,0.0608,31264,1.0,15,0,0,0,0,0
33,12.048,0.002624,0,0,0,1,0,0,0,2
34,12.07,0.001184,0,0,0,1,0,0,0,1
35,12.09,0.907902,31264,1.0,15,0,0,0,0,0
36,13.001,0.062048,31264,1.0,15,0,0,0,0,0
37,13.068,0.002656,0,0,0,1,0,0,0,2
38,13.098,0.00112,0,0,0,1,0,0,0,1
39,13.117,1.79878,31264,1.0,15,0,0,0,0,0
40,14.919,0.061888,31264,1.0,15,0,0,0,0,0
41,14.985,0.002656,0,0,0,1,0,0,0,2
42,15.009,0.00112,0,0,0,1,0,0,0,1
43,15.028,0.699775,31264,1.0,15,0,0,0,0,0
44,15.731,0.042848,31264,1.0,15,0,0,0,0,0
45,15.779,0.002656,0,0,0,1,0,0,0,2
46,15.801,0.00112,0,0,0,1,0,0,0,1
47,15.822,0.149791,31264,1.0,15,0,0,0,0,0
48,15.974,0.037888,31264,1.0,15,0,0,0,0,0
49,16.022,0.002656,0,0,0,1,0,0,0,2
50,16.045,0.00112,0,0,0,1,0,0,0,1
51,16.064,0.038848,31264,1.0,15,0,0,0,0,0
52,16.106,0.037728,31264,1.0,15,0,0,0,0,0
53,16.149,0.002624,0,0,0,1,0,0,0,2
54,16.171,0.82115,0,0,0,4000000,0,0,0,2
