id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.00176,0,1,0,0,0,0,0,0
1,232.0,0.020192,0,0,0,4194304,1,0,0,0
2,255.0,0.001408,0,1,0,0,0,0,0,0
3,477.0,0.018816,0,0,0,4194304,1,0,0,0
4,498.0,0.00144,0,1,0,0,0,0,0,0
5,704.0,0.019168,0,0,0,4194304,1,0,0,0
6,725.0,0.001408,0,1,0,0,0,0,0,0
7,929.0,0.01888,0,0,0,4194304,1,0,0,0
8,950.0,0.00144,0,1,0,0,0,0,0,0
9,1155.0,0.018976,0,0,0,4194304,1,0,0,0
10,1176.0,0.00144,0,1,0,0,0,0,0,0
11,1381.0,0.018816,0,0,0,4194304,1,0,0,0
12,1403.0,0.001408,0,1,0,0,0,0,0,0
13,1614.0,0.018944,0,0,0,4194304,1,0,0,0
14,1636.0,0.00144,0,1,0,0,0,0,0,0
15,1853.0,0.015136,0,0,0,3145728,1,0,0,0
16,1871.0,0.318111,0,0,0,3145728,1,0,0,1
17,2218.0,0.073855,32768,1,15,0,0,0,0,0
18,2308.0,0.001504,0,1,0,0,0,0,0,0
19,2650.0,0.046112,0,0,0,4194304,1,0,0,0
20,2699.0,0.108415,540,0.625,14,0,0,0,0,0
21,2811.0,0.014752,0,0,0,1048576,1,0,0,0
22,2828.0,0.03584,208,0.625,6,0,0,0,0,0
23,2867.0,0.006688,0,0,0,262144,1,0,0,0
24,2876.0,0.021376,88,0.625,3,0,0,0,0,0
25,2901.0,0.043552,0,0,0,4194304,1,0,0,0
26,2947.0,0.109055,540,0.625,14,0,0,0,0,0
27,3059.0,0.014784,0,0,0,1048576,1,0,0,0
28,3076.0,0.03552,208,0.625,6,0,0,0,0,0
29,3115.0,0.006688,0,0,0,262144,1,0,0,0
30,3124.0,0.021216,88,0.625,3,0,0,0,0,0
31,3148.0,0.043744,0,0,0,4194304,1,0,0,0
32,3195.0,0.109119,540,0.625,14,0,0,0,0,0
33,3307.0,0.014656,0,0,0,1048576,1,0,0,0
34,3325.0,0.0352,208,0.625,6,0,0,0,0,0
35,3363.0,0.006368,0,0,0,262144,1,0,0,0
36,3372.0,0.021248,88,0.625,3,0,0,0,0,0
37,5077.0,0.419678,0,0,0,4194304,1,0,0,2
38,10041.0,0.41795,0,0,0,4194304,1,0,0,2
39,14790.0,0.41843,0,0,0,4194304,1,0,0,2
40,17793.0,0.001536,0,1,0,0,0,0,0,0
41,18343.0,0.001376,0,1,0,0,0,0,0,0
42,18658.0,0.001376,0,1,0,0,0,0,0,0
43,18958.0,0.001408,0,1,0,0,0,0,0,0
44,19257.0,0.001408,0,1,0,0,0,0,0,0
45,19557.0,0.001376,0,1,0,0,0,0,0,0
46,19856.0,0.001376,0,1,0,0,0,0,0,0
