id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.001856,0,0,0,0,0,0,0,0
1,0.258,0.02016,0,0,0,4194304,1,0,0,0
2,0.281,0.001408,0,0,0,0,0,0,0,0
3,0.506,0.018976,0,0,0,4194304,1,0,0,0
4,0.527,0.00144,0,0,0,0,0,0,0,0
5,0.749,0.018784,0,0,0,4194304,1,0,0,0
6,0.771,0.00144,0,0,0,0,0,0,0,0
7,0.991,0.019136,0,0,0,4194304,1,0,0,0
8,1.013,0.00144,0,0,0,0,0,0,0,0
9,1.243,0.019776,0,0,0,4194304,1,0,0,0
10,1.265,0.00144,0,0,0,0,0,0,0,0
11,1.485,0.018848,0,0,0,4194304,1,0,0,0
12,1.507,0.00144,0,0,0,0,0,0,0,0
13,1.727,0.018976,0,0,0,4194304,1,0,0,0
14,1.749,0.001504,0,0,0,0,0,0,0,0
15,1.976,0.015136,0,0,0,3145728,1,0,0,0
16,1.995,0.319391,0,0,0,3145728,1,0,0,1
17,2.343,0.072896,32768,1.0,15,0,0,0,0,0
18,2.433,0.001472,0,0,0,0,0,0,0,0
19,2.786,0.046048,0,0,0,4194304,1,0,0,0
20,2.835,0.109952,540,0.469,14,0,0,0,0,0
21,2.948,0.01488,0,0,0,1048576,1,0,0,0
22,2.966,0.035423,208,0.5,6,0,0,0,0,0
23,3.004,0.006656,0,0,0,262144,1,0,0,0
24,3.014,0.021088,88,0.469,3,0,0,0,0,0
25,3.038,0.044,0,0,0,4194304,1,0,0,0
26,3.085,0.110879,540,0.469,14,0,0,0,0,0
27,3.199,0.01488,0,0,0,1048576,1,0,0,0
28,3.217,0.035744,208,0.5,6,0,0,0,0,0
29,3.255,0.00688,0,0,0,262144,1,0,0,0
30,3.265,0.02112,88,0.469,3,0,0,0,0,0
31,3.289,0.044128,0,0,0,4194304,1,0,0,0
32,3.336,0.108895,540,0.469,14,0,0,0,0,0
33,3.448,0.014816,0,0,0,1048576,1,0,0,0
34,3.466,0.036,208,0.5,6,0,0,0,0,0
35,3.505,0.006688,0,0,0,262144,1,0,0,0
36,3.515,0.020928,88,0.469,3,0,0,0,0,0
37,4.456,0.422654,0,0,0,4194304,1,0,0,2
38,8.796,0.427134,0,0,0,4194304,1,0,0,2
39,13.033,0.427326,0,0,0,4194304,1,0,0,2
40,15.878,0.001536,0,0,0,0,0,0,0,0
41,16.218,0.001408,0,0,0,0,0,0,0,0
42,16.556,0.001376,0,0,0,0,0,0,0,0
43,16.892,0.001408,0,0,0,0,0,0,0,0
44,17.252,0.001376,0,0,0,0,0,0,0,0
45,17.613,0.001376,0,0,0,0,0,0,0,0
46,17.945,0.001408,0,0,0,0,0,0,0,0
