id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.051197,0,0,0,554496,1,0,0,1
1,0.081,1.050421,1262,0.25,14,0,0,0,0,0
2,1.136,0.050935,256,1.0,4,0,0,0,0,0
3,1.195,0.001314,0,1,0,0,0,0,0,0
4,1.199,0.126395,512,1,7,0,0,0,0,0
5,1.328,1.982662,250,0.25,8,0,0,0,0,0
6,3.285,0.01008,128,1.0,2,0,0,0,0,0
7,3.299,0.001442,0,1,0,0,0,0,0,0
8,3.303,0.104538,1520,1.0,12,0,0,0,0,0
9,3.41,0.001387,0,1,0,0,0,1,0,0
10,3.414,0.064402,0,0,0,15681600,1,0,0,0
11,3.483,0.213139,122528,1,15,0,0,0,0,0
12,3.698,0.001238,0,1,0,0,0,1,0,0
13,3.719,0.001856,0,0,0,5184,0,0,0,1
14,3.795,0.308835,96,0.375,4,0,0,0,0,0
15,4.102,0.216723,122528,1,15,0,0,0,0,0
16,4.323,0.307034,96,0.375,4,0,0,0,0,0
17,4.628,0.208727,122528,1,15,0,0,0,0,0
18,4.839,0.306185,96,0.375,4,0,0,0,0,0
19,5.149,0.215902,122528,1,15,0,0,0,0,0
20,5.369,0.308223,96,0.375,4,0,0,0,0,0
21,5.673,0.217096,122528,1,15,0,0,0,0,0
22,5.893,0.305006,96,0.375,4,0,0,0,0,0
23,6.205,0.217674,122528,1,15,0,0,0,0,0
24,6.426,0.304974,96,0.375,4,0,0,0,0,0
25,6.731,0.212355,122528,1,15,0,0,0,0,0
26,6.948,0.307476,96,0.375,4,0,0,0,0,0
27,7.255,0.213847,122528,1,15,0,0,0,0,0
28,7.471,0.307711,96,0.375,4,0,0,0,0,0
29,7.781,0.215416,122528,1,15,0,0,0,0,0
30,7.999,0.306455,96,0.375,4,0,0,0,0,0
31,8.304,0.217755,122528,1,15,0,0,0,0,0
32,8.525,0.306903,96,0.375,4,0,0,0,0,0
33,8.833,0.208968,122528,1,15,0,0,0,0,0
34,9.044,0.307254,96,0.375,4,0,0,0,0,0
35,9.358,0.21451,122528,1,15,0,0,0,0,0
36,9.575,0.305399,96,0.375,4,0,0,0,0,0
37,9.884,0.216602,122528,1,15,0,0,0,0,0
38,10.103,0.306146,96,0.375,4,0,0,0,0,0
39,10.408,0.218551,122528,1,15,0,0,0,0,0
40,10.629,0.305353,96,0.375,4,0,0,0,0,0
41,10.935,0.213002,122528,1,15,0,0,0,0,0
42,11.151,0.309214,96,0.375,4,0,0,0,0,0
43,11.465,0.211722,122528,1,15,0,0,0,0,0
44,11.679,0.30798,96,0.375,4,0,0,0,0,0
45,11.983,0.004778,1520,1,12,0,0,0,0,0
46,11.991,0.10451,1520,1.0,12,0,0,0,0,0
47,12.099,0.212951,122528,1,15,0,0,0,0,0
48,12.315,0.308361,96,0.375,4,0,0,0,0,0
49,12.622,0.216211,122528,1,15,0,0,0,0,0
50,12.84,0.30755,96,0.375,4,0,0,0,0,0
51,13.146,0.208192,122528,1,15,0,0,0,0,0
52,13.357,0.308052,96,0.375,4,0,0,0,0,0
53,13.66,0.215358,122528,1,15,0,0,0,0,0
54,13.878,0.305308,96,0.375,4,0,0,0,0,0
55,14.187,0.216613,122528,1,15,0,0,0,0,0
56,14.406,0.304007,96,0.375,4,0,0,0,0,0
57,14.717,0.217302,122528,1,15,0,0,0,0,0
58,14.937,0.308433,96,0.375,4,0,0,0,0,0
59,15.26,0.212224,122528,1,15,0,0,0,0,0
60,15.476,0.30695,96,0.375,4,0,0,0,0,0
61,15.798,0.213319,122528,1,15,0,0,0,0,0
62,16.014,0.304987,96,0.375,4,0,0,0,0,0
63,16.319,0.215349,122528,1,15,0,0,0,0,0
64,16.537,0.304287,96,0.375,4,0,0,0,0,0
65,16.843,0.217424,122528,1,15,0,0,0,0,0
66,17.063,0.303927,96,0.375,4,0,0,0,0,0
67,17.368,0.208384,122528,1,15,0,0,0,0,0
68,17.578,0.307554,96,0.375,4,0,0,0,0,0
69,17.883,0.214083,122528,1,15,0,0,0,0,0
70,18.101,0.307607,96,0.375,4,0,0,0,0,0
71,18.411,0.216803,122528,1,15,0,0,0,0,0
72,18.631,0.305759,96,0.375,4,0,0,0,0,0
73,18.947,0.218165,122528,1,15,0,0,0,0,0
74,19.168,0.305375,96,0.375,4,0,0,0,0,0
75,19.49,0.212858,122528,1,15,0,0,0,0,0
76,19.707,0.306721,96,0.375,4,0,0,0,0,0
77,20.019,0.211254,122528,1,15,0,0,0,0,0
78,20.233,0.307135,96,0.375,4,0,0,0,0,0
79,20.543,0.004715,1520,1,12,0,0,0,0,0
80,20.551,0.001218,0,1,0,0,0,0,1,0
81,20.991,0.001669,0,1,0,0,0,0,1,0
82,21.039,0.033255,320,1.0,5,0,0,0,0,0
83,21.076,0.001253,0,1,0,0,0,1,0,0
84,21.352,0.013248,0,0,0,1960000,1,0,0,0
85,21.383,0.029122,15328,1,15,0,0,0,0,0
86,21.414,0.001219,0,1,0,0,0,1,0,0
87,21.681,0.002032,0,0,0,3136,0,0,0,1
88,21.717,0.078202,80,0.438,3,0,0,0,0,0
89,21.799,0.028685,15328,1,15,0,0,0,0,0
90,21.831,0.077781,80,0.438,3,0,0,0,0,0
91,21.912,0.028176,15328,1,15,0,0,0,0,0
92,21.943,0.077841,80,0.438,3,0,0,0,0,0
93,22.024,0.028163,15328,1,15,0,0,0,0,0
94,22.055,0.07785,80,0.438,3,0,0,0,0,0
95,22.137,0.027879,15328,1,15,0,0,0,0,0
96,22.167,0.077919,80,0.438,3,0,0,0,0,0
97,22.248,0.028368,15328,1,15,0,0,0,0,0
98,22.28,0.077884,80,0.438,3,0,0,0,0,0
99,22.361,0.027914,15328,1,15,0,0,0,0,0
100,22.392,0.07798,80,0.438,3,0,0,0,0,0
101,22.473,0.028133,15328,1,15,0,0,0,0,0
102,22.504,0.077953,80,0.438,3,0,0,0,0,0
103,22.584,0.027589,15328,1,15,0,0,0,0,0
104,22.615,0.078033,80,0.438,3,0,0,0,0,0
105,22.696,0.028055,15328,1,15,0,0,0,0,0
106,22.727,0.077938,80,0.438,3,0,0,0,0,0
107,22.808,0.027586,15328,1,15,0,0,0,0,0
108,22.839,0.078002,80,0.438,3,0,0,0,0,0
109,22.92,0.02772,15328,1,15,0,0,0,0,0
110,22.95,0.077911,80,0.438,3,0,0,0,0,0
111,23.032,0.027808,15328,1,15,0,0,0,0,0
112,23.063,0.078021,80,0.438,3,0,0,0,0,0
113,23.144,0.027853,15328,1,15,0,0,0,0,0
114,23.175,0.077908,80,0.438,3,0,0,0,0,0
115,23.257,0.027171,15328,1,15,0,0,0,0,0
116,23.287,0.077977,80,0.438,3,0,0,0,0,0
117,23.369,0.028005,15328,1,15,0,0,0,0,0
118,23.399,0.077953,80,0.438,3,0,0,0,0,0
119,23.481,0.002203,320,1,3,0,0,0,0,0
120,23.486,0.032885,320,1.0,5,0,0,0,0,0
121,23.522,0.026957,15328,1,15,0,0,0,0,0
122,23.553,0.077901,80,0.438,3,0,0,0,0,0
123,23.633,0.028173,15328,1,15,0,0,0,0,0
124,23.665,0.077996,80,0.438,3,0,0,0,0,0
125,23.746,0.028119,15328,1,15,0,0,0,0,0
126,23.777,0.077957,80,0.438,3,0,0,0,0,0
127,23.859,0.028146,15328,1,15,0,0,0,0,0
128,23.89,0.078002,80,0.438,3,0,0,0,0,0
129,23.971,0.027853,15328,1,15,0,0,0,0,0
130,24.002,0.078007,80,0.438,3,0,0,0,0,0
131,24.083,0.028311,15328,1,15,0,0,0,0,0
132,24.114,0.078029,80,0.438,3,0,0,0,0,0
133,24.194,0.027871,15328,1,15,0,0,0,0,0
134,24.224,0.077884,80,0.438,3,0,0,0,0,0
135,24.305,0.028032,15328,1,15,0,0,0,0,0
136,24.336,0.078026,80,0.438,3,0,0,0,0,0
137,24.417,0.027565,15328,1,15,0,0,0,0,0
138,24.447,0.0779,80,0.438,3,0,0,0,0,0
139,24.528,0.028005,15328,1,15,0,0,0,0,0
140,24.559,0.078127,80,0.438,3,0,0,0,0,0
141,24.64,0.027509,15328,1,15,0,0,0,0,0
142,24.67,0.077908,80,0.438,3,0,0,0,0,0
143,24.751,0.027557,15328,1,15,0,0,0,0,0
144,24.782,0.077889,80,0.438,3,0,0,0,0,0
145,24.863,0.027693,15328,1,15,0,0,0,0,0
146,24.894,0.077969,80,0.438,3,0,0,0,0,0
147,24.975,0.027928,15328,1,15,0,0,0,0,0
148,25.006,0.077953,80,0.438,3,0,0,0,0,0
149,25.087,0.027115,15328,1,15,0,0,0,0,0
150,25.117,0.077981,80,0.438,3,0,0,0,0,0
151,25.198,0.028019,15328,1,15,0,0,0,0,0
152,25.229,0.078058,80,0.438,3,0,0,0,0,0
153,25.311,0.002165,320,1,3,0,0,0,0,0
154,25.316,0.001213,0,1,0,0,0,0,1,0
155,25.682,0.00169,0,1,0,0,0,0,1,0
156,26.045,0.016402,224,1.0,4,0,0,0,0,0
157,26.065,0.001261,0,1,0,0,0,1,0,0
158,26.36,0.001274,0,0,0,705600,1,0,0,0
159,26.386,0.01017,5520,1,15,0,0,0,0,0
160,26.404,0.001237,0,1,0,0,0,1,0,0
161,26.713,0.001874,0,0,0,1600,0,0,0,1
162,26.75,0.046378,56,0.438,2,0,0,0,0,0
163,26.799,0.01085,5520,1,15,0,0,0,0,0
164,26.813,0.045919,56,0.438,2,0,0,0,0,0
165,26.863,0.010552,5520,1,15,0,0,0,0,0
166,26.876,0.045976,56,0.438,2,0,0,0,0,0
167,26.924,0.010917,5520,1,15,0,0,0,0,0
168,26.938,0.04601,56,0.438,2,0,0,0,0,0
169,26.987,0.010579,5520,1,15,0,0,0,0,0
170,27.002,0.04604,56,0.438,2,0,0,0,0,0
171,27.051,0.010792,5520,1,15,0,0,0,0,0
172,27.064,0.045941,56,0.438,2,0,0,0,0,0
173,27.114,0.010672,5520,1,15,0,0,0,0,0
174,27.127,0.045964,56,0.438,2,0,0,0,0,0
175,27.176,0.01056,5520,1,15,0,0,0,0,0
176,27.19,0.045988,56,0.438,2,0,0,0,0,0
177,27.239,0.010743,5520,1,15,0,0,0,0,0
178,27.253,0.046024,56,0.438,2,0,0,0,0,0
179,27.303,0.010618,5520,1,15,0,0,0,0,0
180,27.316,0.046029,56,0.438,2,0,0,0,0,0
181,27.365,0.010696,5520,1,15,0,0,0,0,0
182,27.379,0.046008,56,0.438,2,0,0,0,0,0
183,27.429,0.010786,5520,1,15,0,0,0,0,0
184,27.443,0.045912,56,0.438,2,0,0,0,0,0
185,27.492,0.010688,5520,1,15,0,0,0,0,0
186,27.505,0.046093,56,0.438,2,0,0,0,0,0
187,27.554,0.01087,5520,1,15,0,0,0,0,0
188,27.568,0.046037,56,0.438,2,0,0,0,0,0
189,27.616,0.010511,5520,1,15,0,0,0,0,0
190,27.63,0.045954,56,0.438,2,0,0,0,0,0
191,27.679,0.01097,5520,1,15,0,0,0,0,0
192,27.694,0.046026,56,0.438,2,0,0,0,0,0
193,27.742,0.00199,224,1,2,0,0,0,0,0
194,27.747,0.016432,224,1.0,4,0,0,0,0,0
195,27.767,0.00928,5520,1,15,0,0,0,0,0
196,27.778,0.045824,56,0.438,2,0,0,0,0,0
197,27.827,0.010864,5520,1,15,0,0,0,0,0
198,27.841,0.046037,56,0.438,2,0,0,0,0,0
199,27.89,0.010605,5520,1,15,0,0,0,0,0
200,27.904,0.046061,56,0.438,2,0,0,0,0,0
201,27.953,0.01087,5520,1,15,0,0,0,0,0
202,27.967,0.046007,56,0.438,2,0,0,0,0,0
203,28.016,0.010496,5520,1,15,0,0,0,0,0
204,28.029,0.046,56,0.438,2,0,0,0,0,0
205,28.078,0.010731,5520,1,15,0,0,0,0,0
206,28.092,0.046077,56,0.438,2,0,0,0,0,0
207,28.142,0.010675,5520,1,15,0,0,0,0,0
208,28.157,0.046098,56,0.438,2,0,0,0,0,0
209,28.206,0.010594,5520,1,15,0,0,0,0,0
210,28.22,0.046019,56,0.438,2,0,0,0,0,0
211,28.269,0.010722,5520,1,15,0,0,0,0,0
212,28.283,0.046004,56,0.438,2,0,0,0,0,0
213,28.332,0.010621,5520,1,15,0,0,0,0,0
214,28.346,0.046117,56,0.438,2,0,0,0,0,0
215,28.395,0.010658,5520,1,15,0,0,0,0,0
216,28.409,0.046005,56,0.438,2,0,0,0,0,0
217,28.458,0.010786,5520,1,15,0,0,0,0,0
218,28.472,0.046016,56,0.438,2,0,0,0,0,0
219,28.521,0.01061,5520,1,15,0,0,0,0,0
220,28.535,0.045964,56,0.438,2,0,0,0,0,0
221,28.584,0.010792,5520,1,15,0,0,0,0,0
222,28.598,0.046026,56,0.438,2,0,0,0,0,0
223,28.647,0.010538,5520,1,15,0,0,0,0,0
224,28.661,0.046048,56,0.438,2,0,0,0,0,0
225,28.71,0.010885,5520,1,15,0,0,0,0,0
226,28.724,0.046037,56,0.438,2,0,0,0,0,0
