id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.001664,0,0,0,0,0,0,0,0
1,0.26,0.001376,0,0,0,0,0,0,0,0
2,0.539,0.001376,0,0,0,0,0,0,0,0
3,1.129,0.103519,0,0,0,1048576,1,0,0,1
4,1.607,0.105312,0,0,0,1048576,1,0,0,1
5,1.723,0.001536,0,0,0,2048,0,0,0,1
6,1.744,0.006784,16,1.0,1,0,0,0,0,0
7,1.772,0.084511,8192,0,13,0,0,0,0,0
8,1.875,0.00528,16,1.0,1,0,0,0,0,0
9,1.899,0.08592,8192,0,13,0,0,0,0,0
10,2.004,0.005248,16,1.0,1,0,0,0,0,0
11,2.028,0.085984,8192,0,13,0,0,0,0,0
12,2.137,0.005472,16,1.0,1,0,0,0,0,0
13,2.161,0.085567,8192,0,13,0,0,0,0,0
14,2.264,0.005504,16,1.0,1,0,0,0,0,0
15,2.292,0.083136,8192,0,13,0,0,0,0,0
16,2.393,0.005344,16,1.0,1,0,0,0,0,0
17,2.424,0.085056,8192,0,13,0,0,0,0,0
18,2.529,0.00528,16,1.0,1,0,0,0,0,0
19,2.552,0.085023,8192,0,13,0,0,0,0,0
20,2.655,0.005536,16,1.0,1,0,0,0,0,0
21,2.679,0.0848,8192,0,13,0,0,0,0,0
22,2.782,0.005088,16,1.0,1,0,0,0,0,0
23,2.805,0.082496,8192,0,13,0,0,0,0,0
24,2.905,0.005376,16,1.0,1,0,0,0,0,0
25,2.928,0.084255,8192,0,13,0,0,0,0,0
26,3.031,0.005408,16,1.0,1,0,0,0,0,0
27,3.054,0.084256,8192,0,13,0,0,0,0,0
28,3.155,0.005376,16,1.0,1,0,0,0,0,0
29,3.178,0.084031,8192,0,13,0,0,0,0,0
30,3.279,0.005408,16,1.0,1,0,0,0,0,0
31,3.303,0.081888,8192,0,13,0,0,0,0,0
32,3.402,0.005151,16,1.0,1,0,0,0,0,0
33,3.425,0.083872,8192,0,13,0,0,0,0,0
34,3.527,0.005344,16,1.0,1,0,0,0,0,0
35,3.55,0.083807,8192,0,13,0,0,0,0,0
36,3.651,0.005376,16,1.0,1,0,0,0,0,0
37,3.674,0.083488,8192,0,13,0,0,0,0,0
38,3.775,0.00512,16,1.0,1,0,0,0,0,0
39,3.798,0.081183,8192,0,13,0,0,0,0,0
40,3.896,0.005568,16,1.0,1,0,0,0,0,0
41,3.919,0.08304,8192,0,13,0,0,0,0,0
42,4.02,0.005408,16,1.0,1,0,0,0,0,0
43,4.044,0.082944,8192,0,13,0,0,0,0,0
44,4.144,0.005376,16,1.0,1,0,0,0,0,0
45,4.167,0.082719,8192,0,13,0,0,0,0,0
46,4.267,0.005376,16,1.0,1,0,0,0,0,0
47,4.29,0.080512,8192,0,13,0,0,0,0,0
48,4.388,0.005408,16,1.0,1,0,0,0,0,0
49,4.411,0.082496,8192,0,13,0,0,0,0,0
50,4.513,0.005472,16,1.0,1,0,0,0,0,0
51,4.536,0.082527,8192,0,13,0,0,0,0,0
52,4.636,0.005344,16,1.0,1,0,0,0,0,0
53,4.659,0.082208,8192,0,13,0,0,0,0,0
54,4.758,0.005408,16,1.0,1,0,0,0,0,0
55,4.782,0.079935,8192,0,13,0,0,0,0,0
56,4.879,0.005408,16,1.0,1,0,0,0,0,0
57,4.902,0.081824,8192,0,13,0,0,0,0,0
58,5.001,0.005376,16,1.0,1,0,0,0,0,0
59,5.025,0.081728,8192,0,13,0,0,0,0,0
60,5.124,0.005376,16,1.0,1,0,0,0,0,0
61,5.146,0.081471,8192,0,13,0,0,0,0,0
62,5.245,0.005344,16,1.0,1,0,0,0,0,0
63,5.269,0.079328,8192,0,13,0,0,0,0,0
64,5.367,0.005344,16,1.0,1,0,0,0,0,0
65,5.39,0.081055,8192,0,13,0,0,0,0,0
66,5.493,0.005376,16,1.0,1,0,0,0,0,0
67,5.516,0.081024,8192,0,13,0,0,0,0,0
68,5.615,0.005376,16,1.0,1,0,0,0,0,0
69,5.638,0.080736,8192,0,13,0,0,0,0,0
70,5.736,0.005376,16,1.0,1,0,0,0,0,0
71,5.759,0.078655,8192,0,13,0,0,0,0,0
72,5.855,0.00528,16,1.0,1,0,0,0,0,0
73,5.878,0.080448,8192,0,13,0,0,0,0,0
74,5.976,0.005504,16,1.0,1,0,0,0,0,0
75,6.0,0.080287,8192,0,13,0,0,0,0,0
76,6.097,0.005152,16,1.0,1,0,0,0,0,0
77,6.12,0.080032,8192,0,13,0,0,0,0,0
78,6.218,0.005376,16,1.0,1,0,0,0,0,0
79,6.241,0.078112,8192,0,13,0,0,0,0,0
80,6.336,0.005408,16,1.0,1,0,0,0,0,0
81,6.359,0.079775,8192,0,13,0,0,0,0,0
82,6.457,0.005248,16,1.0,1,0,0,0,0,0
83,6.48,0.079744,8192,0,13,0,0,0,0,0
84,6.577,0.004736,16,1.0,1,0,0,0,0,0
85,6.599,0.079487,8192,0,13,0,0,0,0,0
86,6.696,0.005152,16,1.0,1,0,0,0,0,0
87,6.719,0.077536,8192,0,13,0,0,0,0,0
88,6.814,0.005375,16,1.0,1,0,0,0,0,0
89,6.837,0.079104,8192,0,13,0,0,0,0,0
90,6.934,0.005376,16,1.0,1,0,0,0,0,0
91,6.957,0.079135,8192,0,13,0,0,0,0,0
92,7.054,0.004704,16,1.0,1,0,0,0,0,0
93,7.076,0.078784,8192,0,13,0,0,0,0,0
94,7.172,0.005568,16,1.0,1,0,0,0,0,0
95,7.195,0.076927,8192,0,13,0,0,0,0,0
96,7.289,0.0056,16,1.0,1,0,0,0,0,0
97,7.312,0.078656,8192,0,13,0,0,0,0,0
98,7.409,0.005376,16,1.0,1,0,0,0,0,0
99,7.432,0.078624,8192,0,13,0,0,0,0,0
100,7.528,0.005504,16,1.0,1,0,0,0,0,0
101,7.551,0.078239,8192,0,13,0,0,0,0,0
102,7.646,0.005344,16,1.0,1,0,0,0,0,0
103,7.669,0.076448,8192,0,13,0,0,0,0,0
104,7.763,0.005344,16,1.0,1,0,0,0,0,0
105,7.786,0.077919,8192,0,13,0,0,0,0,0
106,7.881,0.005408,16,1.0,1,0,0,0,0,0
107,7.905,0.077888,8192,0,13,0,0,0,0,0
108,8.0,0.005568,16,1.0,1,0,0,0,0,0
109,8.023,0.077696,8192,0,13,0,0,0,0,0
110,8.118,0.004704,16,1.0,1,0,0,0,0,0
111,8.14,0.075904,8192,0,13,0,0,0,0,0
112,8.234,0.005152,16,1.0,1,0,0,0,0,0
113,8.256,0.077504,8192,0,13,0,0,0,0,0
114,8.352,0.005376,16,1.0,1,0,0,0,0,0
115,8.375,0.077343,8192,0,13,0,0,0,0,0
116,8.469,0.005408,16,1.0,1,0,0,0,0,0
117,8.5,0.07712,8192,0,13,0,0,0,0,0
118,8.595,0.005056,16,1.0,1,0,0,0,0,0
119,8.618,0.075359,8192,0,13,0,0,0,0,0
120,8.711,0.005408,16,1.0,1,0,0,0,0,0
121,8.734,0.076896,8192,0,13,0,0,0,0,0
122,8.829,0.005504,16,1.0,1,0,0,0,0,0
123,8.852,0.0768,8192,0,13,0,0,0,0,0
124,8.947,0.00512,16,1.0,1,0,0,0,0,0
125,8.969,0.076607,8192,0,13,0,0,0,0,0
126,9.063,0.005376,16,1.0,1,0,0,0,0,0
127,9.086,0.074848,8192,0,13,0,0,0,0,0
128,9.178,0.005632,16,1.0,1,0,0,0,0,0
129,9.201,0.076351,8192,0,13,0,0,0,0,0
130,9.295,0.005568,16,1.0,1,0,0,0,0,0
131,9.318,0.076384,8192,0,13,0,0,0,0,0
132,9.414,0.005504,16,1.0,1,0,0,0,0,0
133,9.437,0.076064,8192,0,13,0,0,0,0,0
134,9.53,0.005408,16,1.0,1,0,0,0,0,0
135,9.553,0.074431,8192,0,13,0,0,0,0,0
136,9.645,0.005216,16,1.0,1,0,0,0,0,0
137,9.668,0.075744,8192,0,13,0,0,0,0,0
138,9.761,0.00512,16,1.0,1,0,0,0,0,0
139,9.785,0.075615,8192,0,13,0,0,0,0,0
140,9.878,0.005024,16,1.0,1,0,0,0,0,0
141,9.9,0.07536,8192,0,13,0,0,0,0,0
142,9.993,0.005408,16,1.0,1,0,0,0,0,0
143,10.016,0.073791,8192,0,13,0,0,0,0,0
144,10.107,0.004672,16,1.0,1,0,0,0,0,0
145,10.129,0.0752,8192,0,13,0,0,0,0,0
146,10.222,0.005343,16,1.0,1,0,0,0,0,0
147,10.245,0.075104,8192,0,13,0,0,0,0,0
148,10.338,0.005312,16,1.0,1,0,0,0,0,0
149,10.361,0.074879,8192,0,13,0,0,0,0,0
150,10.453,0.00512,16,1.0,1,0,0,0,0,0
151,10.476,0.073312,8192,0,13,0,0,0,0,0
152,10.566,0.005312,16,1.0,1,0,0,0,0,0
153,10.589,0.074559,8192,0,13,0,0,0,0,0
154,10.681,0.005088,16,1.0,1,0,0,0,0,0
155,10.705,0.074496,8192,0,13,0,0,0,0,0
156,10.796,0.005408,16,1.0,1,0,0,0,0,0
157,10.82,0.074271,8192,0,13,0,0,0,0,0
158,10.911,0.00496,16,1.0,1,0,0,0,0,0
159,10.934,0.072736,8192,0,13,0,0,0,0,0
160,11.024,0.005119,16,1.0,1,0,0,0,0,0
161,11.047,0.074048,8192,0,13,0,0,0,0,0
162,11.138,0.005184,16,1.0,1,0,0,0,0,0
163,11.161,0.074079,8192,0,13,0,0,0,0,0
164,11.252,0.005184,16,1.0,1,0,0,0,0,0
165,11.275,0.073728,8192,0,13,0,0,0,0,0
166,11.366,0.005408,16,1.0,1,0,0,0,0,0
167,11.389,0.072255,8192,0,13,0,0,0,0,0
168,11.478,0.005376,16,1.0,1,0,0,0,0,0
169,11.502,0.073504,8192,0,13,0,0,0,0,0
170,11.593,0.005408,16,1.0,1,0,0,0,0,0
171,11.617,0.073471,8192,0,13,0,0,0,0,0
172,11.708,0.005152,16,1.0,1,0,0,0,0,0
173,11.731,0.07312,8192,0,13,0,0,0,0,0
174,11.821,0.00544,16,1.0,1,0,0,0,0,0
175,11.844,0.071616,8192,0,13,0,0,0,0,0
176,11.933,0.005152,16,1.0,1,0,0,0,0,0
177,11.956,0.07296,8192,0,13,0,0,0,0,0
178,12.048,0.005088,16,1.0,1,0,0,0,0,0
179,12.071,0.072992,8192,0,13,0,0,0,0,0
180,12.161,0.005376,16,1.0,1,0,0,0,0,0
181,12.187,0.072639,8192,0,13,0,0,0,0,0
182,12.277,0.005376,16,1.0,1,0,0,0,0,0
183,12.3,0.071168,8192,0,13,0,0,0,0,0
184,12.388,0.00512,16,1.0,1,0,0,0,0,0
185,12.411,0.072447,8192,0,13,0,0,0,0,0
186,12.501,0.00512,16,1.0,1,0,0,0,0,0
187,12.537,0.072416,8192,0,13,0,0,0,0,0
188,12.627,0.005376,16,1.0,1,0,0,0,0,0
189,12.65,0.072096,8192,0,13,0,0,0,0,0
190,12.74,0.005408,16,1.0,1,0,0,0,0,0
191,12.764,0.070591,8192,0,13,0,0,0,0,0
192,12.865,0.005088,16,1.0,1,0,0,0,0,0
193,12.887,0.071904,8192,0,13,0,0,0,0,0
194,12.977,0.005376,16,1.0,1,0,0,0,0,0
195,13.0,0.071839,8192,0,13,0,0,0,0,0
196,13.089,0.005024,16,1.0,1,0,0,0,0,0
197,13.112,0.071488,8192,0,13,0,0,0,0,0
198,13.201,0.004672,16,1.0,1,0,0,0,0,0
199,13.223,0.070047,8192,0,13,0,0,0,0,0
200,13.311,0.005344,16,1.0,1,0,0,0,0,0
201,13.347,0.071264,8192,0,13,0,0,0,0,0
