id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.368094,0,0,0,1952256,0,0,0,1
1,0.379,0.001152,0,0,0,16,0,0,0,1
2,0.4,0.016064,408,0.75,9,0,0,0,0,0
3,7.042,0.364862,0,0,0,1952256,0,0,0,1
4,7.417,0.001184,0,0,0,16,0,0,0,1
5,7.432,24.629021,408,0.75,9,0,0,0,0,0
6,32.393,0.36339,0,0,0,1952256,0,0,0,1
7,32.766,0.001184,0,0,0,16,0,0,0,1
8,32.781,24.625501,408,0.75,9,0,0,0,0,0
9,57.748,0.36771,0,0,0,1952256,0,0,0,1
10,58.126,0.001152,0,0,0,16,0,0,0,1
11,58.141,24.611453,408,0.75,9,0,0,0,0,0
12,83.087,0.373694,0,0,0,1952256,0,0,0,1
13,83.472,0.001184,0,0,0,16,0,0,0,1
14,83.488,24.603965,408,0.75,9,0,0,0,0,0
15,108.424,0.36467,0,0,0,1952256,0,0,0,1
16,108.799,0.001184,0,0,0,16,0,0,0,1
17,108.814,24.636285,408,0.75,9,0,0,0,0,0
18,133.786,0.389406,0,0,0,1952256,0,0,0,1
19,134.186,0.001184,0,0,0,16,0,0,0,1
20,134.201,24.617084,408,0.75,9,0,0,0,0,0
21,159.156,0.36531,0,0,0,1952256,0,0,0,1
22,159.532,0.001216,0,0,0,16,0,0,0,1
23,159.547,24.636189,408,0.75,9,0,0,0,0,0
24,184.552,0.36659,0,0,0,1952256,0,0,0,1
25,184.929,0.001184,0,0,0,16,0,0,0,1
26,184.944,24.634205,408,0.75,9,0,0,0,0,0
27,209.914,0.36419,0,0,0,1952256,0,0,0,1
28,210.288,0.001216,0,0,0,16,0,0,0,1
29,210.302,24.640829,408,0.75,9,0,0,0,0,0
30,234.947,0.004128,0,0,0,8320,0,0,0,2
31,234.972,0.00432,0,0,0,8320,0,0,0,2
32,234.992,0.004032,0,0,0,12896,0,0,0,2
33,235.013,0.004,0,0,0,12896,0,0,0,2
