id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.00144,0,1,0,0,0,0,0,0
1,0.263,0.001376,0,1,0,0,0,0,0,0
2,0.824,13.191071,0,0,0,42400000,0,0,0,1
3,14.048,0.001568,0,1,0,0,0,0,0,0
4,14.383,0.001408,0,1,0,0,0,0,0,0
5,14.768,0.001376,0,1,0,0,0,0,0,0
6,14.791,0.001312,0,1,0,0,0,0,0,0
7,14.813,0.00128,0,1,0,0,0,0,0,0
8,15.322,0.001376,0,1,0,0,0,0,0,0
9,15.353,0.00528,0,0,0,4096,0,0,0,0
10,15.367,0.003904,0,0,0,4096,0,0,0,0
11,15.389,4.307787,192,1,3,0,0,0,0,0
12,19.702,0.003744,0,0,0,4096,0,0,0,2
13,19.751,0.001856,0,0,0,4096,0,0,0,1
14,19.764,0.004448,0,0,0,4096,0,0,0,0
15,19.803,5.653188,2588,1,11,0,0,0,0,0
16,25.46,0.73926,32,1,1,0,0,0,0,0
17,26.203,0.003328,0,0,0,4096,0,0,0,2
18,26.256,0.001824,0,0,0,4096,0,0,0,1
19,26.269,0.189567,0,0,0,42416384,1,0,0,0
20,26.462,7.113533,2588,1,11,0,0,0,0,0
21,33.579,0.39251,82832,1,15,0,0,0,0,0
22,33.984,0.00192,0,0,0,4100,0,0,0,1
23,33.994,0.001856,0,0,0,4100,0,0,0,1
24,34.005,0.001856,0,0,0,4096,0,0,0,1
25,34.051,0.394206,45376,0.75,15,0,0,0,0,0
26,34.463,0.7191,22691,0.75,15,0,0,0,0,0
27,35.185,1.501945,11362,0.75,15,0,0,0,0,0
28,36.69,3.239728,5700,0.75,15,0,0,0,0,0
29,39.933,4.261291,2853,0.75,15,0,0,0,0,0
30,44.199,4.324619,1443,0.75,11,0,0,0,0,0
31,48.526,4.226091,741,0.75,8,0,0,0,0,0
32,52.758,4.58241,390,0.75,9,0,0,0,0,0
33,57.345,2.953905,195,0.75,5,0,0,0,0,0
34,60.302,1.906071,97,0.75,3,0,0,0,0,0
35,62.213,2.259029,65,0.75,2,0,0,0,0,0
36,64.477,2.690547,32,0.75,1,0,0,0,0,0
37,67.171,0.564925,368640,1,15,0,0,0,0,0
38,67.757,13.186207,0,0,0,42400000,0,0,0,2
39,81.426,0.00144,0,1,0,0,0,0,0,0
40,81.827,0.001408,0,1,0,0,0,0,0,0
41,81.855,0.001312,0,1,0,0,0,0,0,0
42,81.88,0.00128,0,1,0,0,0,0,0,0
43,81.905,0.001248,0,1,0,0,0,0,0,0
44,82.246,0.001376,0,1,0,0,0,0,0,0
45,82.582,0.001408,0,1,0,0,0,0,0,0
46,82.936,0.001344,0,1,0,0,0,0,0,0
