id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.358302,0,0,0,1952256,0,0,0,1
1,0.369,0.001088,0,0,0,16,0,0,0,1
2,0.388,0.016224,408,0.75,9,0,0,0,0,0
3,7.185,0.346334,0,0,0,1952256,0,0,0,1
4,7.541,0.001088,0,0,0,16,0,0,0,1
5,7.558,24.624265,408,0.75,9,0,0,0,0,0
6,32.506,0.383229,0,0,0,1952256,0,0,0,1
7,32.9,0.00112,0,0,0,16,0,0,0,1
8,32.917,24.649161,408,0.75,9,0,0,0,0,0
9,57.875,0.346654,0,0,0,1952256,0,0,0,1
10,58.231,0.00112,0,0,0,16,0,0,0,1
11,58.246,24.660808,408,0.75,9,0,0,0,0,0
12,83.235,0.369342,0,0,0,1952256,0,0,0,1
13,83.614,0.001088,0,0,0,16,0,0,0,1
14,83.631,24.615144,408,0.75,9,0,0,0,0,0
15,108.557,0.345886,0,0,0,1952256,0,0,0,1
16,108.912,0.00112,0,0,0,16,0,0,0,1
17,108.928,24.626345,408,0.75,9,0,0,0,0,0
18,133.883,0.360862,0,0,0,1952256,0,0,0,1
19,134.258,0.00112,0,0,0,16,0,0,0,1
20,134.275,24.649769,408,0.75,9,0,0,0,0,0
21,159.228,0.34659,0,0,0,1952256,0,0,0,1
22,159.584,0.001088,0,0,0,16,0,0,0,1
23,159.602,24.610569,408,0.75,9,0,0,0,0,0
24,184.548,0.351965,0,0,0,1952256,0,0,0,1
25,184.91,0.001088,0,0,0,16,0,0,0,1
26,184.927,24.645321,408,0.75,9,0,0,0,0,0
27,209.883,0.344222,0,0,0,1952256,0,0,0,1
28,210.237,0.001088,0,0,0,16,0,0,0,1
29,210.258,24.619976,408,0.75,9,0,0,0,0,0
30,234.882,0.004,0,0,0,8320,0,0,0,2
31,234.907,0.004,0,0,0,8320,0,0,0,2
32,234.927,0.003904,0,0,0,12896,0,0,0,2
33,234.948,0.003872,0,0,0,12896,0,0,0,2
