id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.001408,0,1,0,0,0,0,0,0
1,0.393,0.001376,0,1,0,0,0,0,0,0
2,1.03,13.72796,0,0,0,42400000,0,0,0,1
3,14.791,0.001536,0,1,0,0,0,0,0,0
4,15.185,0.001376,0,1,0,0,0,0,0,0
5,15.46,0.001376,0,1,0,0,0,0,0,0
6,15.484,0.00128,0,1,0,0,0,0,0,0
7,15.508,0.00128,0,1,0,0,0,0,0,0
8,15.749,0.001408,0,1,0,0,0,0,0,0
9,15.791,0.005408,0,0,0,4096,0,0,0,0
10,15.805,0.003936,0,0,0,4096,0,0,0,0
11,15.827,4.322858,192,1,3,0,0,0,0,0
12,20.156,0.003776,0,0,0,4096,0,0,0,2
13,20.207,0.001856,0,0,0,4096,0,0,0,1
14,20.22,0.004448,0,0,0,4096,0,0,0,0
15,20.259,5.64013,2588,1,11,0,0,0,0,0
16,25.902,0.742972,32,1,1,0,0,0,0,0
17,26.649,0.003488,0,0,0,4096,0,0,0,2
18,26.703,0.001856,0,0,0,4096,0,0,0,1
19,26.717,0.189247,0,0,0,42416384,1,0,0,0
20,26.909,7.094875,2588,1,11,0,0,0,0,0
21,34.01,0.392318,82832,1,15,0,0,0,0,0
22,34.417,0.001952,0,0,0,4100,0,0,0,1
23,34.429,0.001856,0,0,0,4100,0,0,0,1
24,34.44,0.001856,0,0,0,4096,0,0,0,1
25,34.485,0.391998,45376,0.75,15,0,0,0,0,0
26,34.895,0.711932,22691,0.75,15,0,0,0,0,0
27,35.61,1.55932,11362,0.75,15,0,0,0,0,0
28,37.174,3.235407,5700,0.75,15,0,0,0,0,0
29,40.414,4.253514,2853,0.75,15,0,0,0,0,0
30,44.674,4.343561,1443,0.75,11,0,0,0,0,0
31,49.022,4.231145,741,0.75,8,0,0,0,0,0
32,53.258,4.61908,390,0.75,9,0,0,0,0,0
33,57.882,2.939729,195,0.75,5,0,0,0,0,0
34,60.825,1.911158,97,0.75,3,0,0,0,0,0
35,62.747,2.247924,65,0.75,2,0,0,0,0,0
36,65.0,2.676754,32,0.75,1,0,0,0,0,0
37,67.682,0.562621,368640,1,15,0,0,0,0,0
38,68.271,13.899287,0,0,0,42400000,0,0,0,2
39,82.657,0.001792,0,1,0,0,0,0,0,0
40,83.08,0.001408,0,1,0,0,0,0,0,0
41,83.11,0.001248,0,1,0,0,0,0,0,0
42,83.136,0.00128,0,1,0,0,0,0,0,0
43,83.162,0.001312,0,1,0,0,0,0,0,0
44,83.509,0.001408,0,1,0,0,0,0,0,0
45,83.849,0.001376,0,1,0,0,0,0,0,0
46,84.213,0.001376,0,1,0,0,0,0,0,0
