id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,4.18294,0,0,0,9893568,0,0,0,1
1,3.248,2.895825,6056,0.375,15,0,0,0,0,0
2,6.153,0.161235,6144,1.0,14,0,0,0,0,0
3,6.317,0.00155,0,1,0,0,0,0,0,0
4,6.322,0.154025,4800,1,15,0,0,0,0,0
5,6.478,0.299463,12288,1,15,0,0,0,0,0
6,6.78,0.071703,368,1.0,6,0,0,0,0,0
7,6.854,0.097429,34992,1,15,0,0,0,0,0
8,6.955,2.284603,1464,0.375,13,0,0,0,0,0
9,9.233,0.059224,2048,1,8,0,0,0,0,0
10,9.282,2.29715,1464,0.375,13,0,0,0,0,0
11,11.623,0.05813,2048,1,8,0,0,0,0,0
12,11.686,0.001549,0,1,0,0,0,0,0,0
13,11.69,0.104114,3888,1,12,0,0,0,0,0
14,11.797,0.199461,32768,1,15,0,0,0,0,0
15,12.0,0.15534,96,1.0,2,0,0,0,0,0
16,12.158,0.061314,21632,1,15,0,0,0,0,0
17,12.223,4.024758,688,0.25,15,0,0,0,0,0
18,16.249,0.043621,6144,1,12,0,0,0,0,0
19,16.298,0.001498,0,1,0,0,0,0,0,0
20,16.302,0.040579,1536,1,10,0,0,0,0,0
21,16.346,2.010125,344,0.25,11,0,0,0,0,0
22,18.36,0.024085,3072,1,12,0,0,0,0,0
23,18.38,2.013312,344,0.25,11,0,0,0,0,0
24,20.405,0.02401,3072,1,12,0,0,0,0,0
25,20.434,0.00167,0,1,0,0,0,0,0,0
26,20.438,0.040752,1536,1,10,0,0,0,0,0
27,20.482,0.732436,344,0.375,15,0,0,0,0,0
28,21.235,0.017832,2048,1,8,0,0,0,0,0
29,21.25,0.726107,344,0.375,15,0,0,0,0,0
30,21.98,0.017445,2048,1,8,0,0,0,0,0
31,22.002,0.001478,0,1,0,0,0,0,0,0
32,22.007,0.027967,1024,1,13,0,0,0,0,0
33,22.037,0.107002,32768,1,15,0,0,0,0,0
34,22.147,0.001072,0,0,0,1024,0,0,0,0
35,22.153,0.003406,512,1,7,0,0,0,0,0
36,22.159,2.001744,9216,0.75,15,0,0,0,0,0
37,24.184,0.001122,0,0,0,64,0,0,0,1
38,24.21,0.006094,1024,1,8,0,0,0,0,0
39,24.234,0.004715,512,1,7,0,0,0,0,0
40,24.26,0.00109,0,0,0,1024,0,0,0,0
41,24.28,0.003014,512,1,7,0,0,0,0,0
42,24.319,0.9117,4096,0.75,15,0,0,0,0,0
43,25.252,0.001106,0,0,0,64,0,0,0,1
44,25.274,0.005981,1024,1,8,0,0,0,0,0
45,25.297,0.004613,512,1,7,0,0,0,0,0
46,25.32,0.001085,0,0,0,256,0,0,0,0
47,25.34,0.00189,128,1,2,0,0,0,0,0
48,25.365,0.283268,1024,0.75,11,0,0,0,0,0
49,25.652,0.001104,0,0,0,64,0,0,0,1
50,25.673,0.003829,256,1,2,0,0,0,0,0
51,25.707,0.010127,128,1,2,0,0,0,0,0
52,25.726,0.008477,0,0,0,64000,0,0,0,2
