id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.001824,0,1.0,0,0,0,1,0,0
1,0.662,21.602623,0,0,0,67186720,0,0,0,1
2,22.272,0.00192,0,1.0,0,0,0,1,0,0
3,22.706,6.838859,15488,1.0,15,0,0,0,0,0
4,29.549,0.001536,0,1.0,0,0,0,1,0,0
5,29.553,0.00128,0,1.0,0,0,0,1,0,0
6,29.905,0.395935,0,0,0,1976080,0,0,0,1
7,30.311,0.001216,0,0,0,680,0,0,0,1
8,30.364,2.290297,15488,1.0,15,0,0,0,0,0
9,32.682,0.195391,0,0,0,1976080,1,0,0,2
10,47.979,0.389407,0,0,0,1976080,0,0,0,1
11,48.379,0.001216,0,0,0,680,0,0,0,1
12,48.461,2.299961,15488,1.0,15,0,0,0,0,0
13,50.785,0.195231,0,0,0,1976080,1,0,0,2
14,69.659,0.00144,0,1.0,0,0,0,0,1,0
15,70.178,0.001408,0,1.0,0,0,0,0,1,0
16,70.558,0.001376,0,1.0,0,0,0,0,1,0
17,70.895,0.001376,0,1.0,0,0,0,0,1,0
