id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.00144,0,1,0,0,0,0,0,0
1,0.253,0.001376,0,1,0,0,0,0,0,0
2,0.484,0.001376,0,1,0,0,0,0,0,0
3,0.715,0.001376,0,1,0,0,0,0,0,0
4,1.016,0.025728,0,0,0,225008,1,0,0,1
5,1.371,0.11232,0,0,0,1097600,1,0,0,1
6,1.577,0.029344,0,0,0,274400,1,0,0,1
7,1.947,0.112384,0,0,0,1097600,1,0,0,1
8,2.066,31.743393,1372,0.625,12,0,0,0,0,0
9,33.833,0.112767,0,0,0,1097600,1,0,0,2
10,34.19,0.001824,0,1,0,0,0,0,0,0
11,34.535,0.001376,0,1,0,0,0,0,0,0
12,34.871,0.001376,0,1,0,0,0,0,0,0
13,35.215,0.001408,0,1,0,0,0,0,0,0
