id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.001376,0,1,0,0,0,0,0,0
1,0.289,0.001376,0,1,0,0,0,0,0,0
2,0.313,0.00128,0,1,0,0,0,0,0,0
3,0.335,0.00128,0,1,0,0,0,0,0,0
4,0.357,0.00128,0,1,0,0,0,0,0,0
5,0.616,0.001408,0,1,0,0,0,0,0,0
6,0.901,0.048703,0,0,0,472320000,1,0,0,1
7,1.092,0.048543,0,0,0,472320000,1,0,0,1
8,1.15,0.001408,0,0,0,288000,0,0,0,1
9,1.158,0.001184,0,0,0,288000,0,0,0,1
10,1.167,0.001184,0,0,0,144000,0,0,0,1
11,1.175,0.001184,0,0,0,144000,0,0,0,1
12,1.198,17.077207,360,0.563,10,0,0,0,0,0
13,18.296,0.047967,0,0,0,472320000,1,0,0,2
14,18.587,0.001472,0,1,0,0,0,0,0,0
15,18.613,0.00128,0,1,0,0,0,0,0,0
16,18.636,0.00128,0,1,0,0,0,0,0,0
17,18.658,0.00128,0,1,0,0,0,0,0,0
18,19.006,0.001408,0,1,0,0,0,0,0,0
19,19.03,0.00128,0,1,0,0,0,0,0,0
20,30.281,0.001376,0,1,0,0,0,0,0,0
21,30.613,0.001376,0,1,0,0,0,0,0,0
22,30.636,0.001312,0,1,0,0,0,0,0,0
23,30.658,0.001312,0,1,0,0,0,0,0,0
24,30.68,0.001312,0,1,0,0,0,0,0,0
25,30.939,0.001344,0,1,0,0,0,0,0,0
26,31.197,0.04912,0,0,0,472156000,1,0,0,1
27,31.387,0.048288,0,0,0,472156000,1,0,0,1
28,31.445,0.001408,0,0,0,288000,0,0,0,1
29,31.453,0.001216,0,0,0,288000,0,0,0,1
30,31.462,0.001216,0,0,0,144000,0,0,0,1
31,31.47,0.001152,0,0,0,144000,0,0,0,1
32,31.492,17.503284,360,0.563,10,0,0,0,0,0
33,49.018,0.047968,0,0,0,472156000,1,0,0,2
34,49.307,0.001504,0,1,0,0,0,0,0,0
35,49.333,0.00128,0,1,0,0,0,0,0,0
36,49.356,0.00128,0,1,0,0,0,0,0,0
37,49.378,0.001312,0,1,0,0,0,0,0,0
38,49.725,0.001376,0,1,0,0,0,0,0,0
39,49.75,0.001312,0,1,0,0,0,0,0,0
40,59.519,0.001408,0,1,0,0,0,0,0,0
41,59.795,0.001344,0,1,0,0,0,0,0,0
42,59.818,0.001312,0,1,0,0,0,0,0,0
43,59.838,0.00128,0,1,0,0,0,0,0,0
