id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.001376,0,1.0,0,0,0,0,0,0
1,0.278,0.001376,0,1.0,0,0,0,0,0,0
2,0.301,0.00128,0,1.0,0,0,0,0,0,0
3,0.328,0.00128,0,1.0,0,0,0,0,0,0
4,0.352,0.001248,0,1.0,0,0,0,0,0,0
5,0.591,0.001376,0,1.0,0,0,0,0,0,0
6,0.894,0.048576,0,0,0,472320000,1,0,0,1
7,1.095,0.048992,0,0,0,472320000,1,0,0,1
8,1.154,0.001408,0,0,0,288000,0,0,0,1
9,1.163,0.001216,0,0,0,288000,0,0,0,1
10,1.172,0.001216,0,0,0,144000,0,0,0,1
11,1.181,0.001216,0,0,0,144000,0,0,0,1
12,1.202,17.094597,360,0.469,10,0,0,0,0,0
13,18.317,0.048159,0,0,0,472320000,1,0,0,2
14,18.622,0.001472,0,1.0,0,0,0,0,0,0
15,18.648,0.00128,0,1.0,0,0,0,0,0,0
16,18.67,0.00128,0,1.0,0,0,0,0,0,0
17,18.693,0.001248,0,1.0,0,0,0,0,0,0
18,19.04,0.001376,0,1.0,0,0,0,0,0,0
19,19.065,0.001248,0,1.0,0,0,0,0,0,0
20,29.639,0.001376,0,1.0,0,0,0,0,0,0
21,29.91,0.001376,0,1.0,0,0,0,0,0,0
22,29.931,0.001312,0,1.0,0,0,0,0,0,0
23,29.952,0.00128,0,1.0,0,0,0,0,0,0
24,29.972,0.001312,0,1.0,0,0,0,0,0,0
25,30.219,0.001376,0,1.0,0,0,0,0,0,0
26,30.471,0.049599,0,0,0,472156000,1,0,0,1
27,30.683,0.048095,0,0,0,472156000,1,0,0,1
28,30.741,0.001216,0,0,0,288000,0,0,0,1
29,30.75,0.001216,0,0,0,288000,0,0,0,1
30,30.758,0.001184,0,0,0,144000,0,0,0,1
31,30.767,0.001216,0,0,0,144000,0,0,0,1
32,30.788,17.525218,360,0.469,10,0,0,0,0,0
33,48.337,0.048288,0,0,0,472156000,1,0,0,2
34,48.625,0.001472,0,1.0,0,0,0,0,0,0
35,48.65,0.00128,0,1.0,0,0,0,0,0,0
36,48.673,0.001312,0,1.0,0,0,0,0,0,0
37,48.695,0.00128,0,1.0,0,0,0,0,0,0
38,49.04,0.001376,0,1.0,0,0,0,0,0,0
39,49.065,0.00128,0,1.0,0,0,0,0,0,0
40,58.698,0.001376,0,1.0,0,0,0,0,0,0
41,58.956,0.001376,0,1.0,0,0,0,0,0,0
42,58.978,0.001312,0,1.0,0,0,0,0,0,0
43,58.999,0.001312,0,1.0,0,0,0,0,0,0
44,59.033,0.001312,0,1.0,0,0,0,0,0,0
45,59.265,0.001408,0,1.0,0,0,0,0,0,0
46,59.527,0.048544,0,0,0,472156000,1,0,0,1
47,59.73,0.049216,0,0,0,472156000,1,0,0,1
48,59.79,0.001408,0,0,0,288000,0,0,0,1
49,59.799,0.001248,0,0,0,288000,0,0,0,1
50,59.808,0.001184,0,0,0,144000,0,0,0,1
51,59.817,0.001184,0,0,0,144000,0,0,0,1
52,59.838,16.719206,360,0.469,10,0,0,0,0,0
53,76.58,0.05408,0,0,0,472156000,1,0,0,2
54,76.882,0.001472,0,1.0,0,0,0,0,0,0
55,76.909,0.001312,0,1.0,0,0,0,0,0,0
56,76.945,0.00128,0,1.0,0,0,0,0,0,0
57,76.968,0.001248,0,1.0,0,0,0,0,0,0
58,77.323,0.001376,0,1.0,0,0,0,0,0,0
59,77.347,0.00128,0,1.0,0,0,0,0,0,0
60,86.284,0.001408,0,1.0,0,0,0,0,0,0
61,86.533,0.001376,0,1.0,0,0,0,0,0,0
62,86.553,0.001248,0,1.0,0,0,0,0,0,0
63,86.574,0.00128,0,1.0,0,0,0,0,0,0
64,86.594,0.00128,0,1.0,0,0,0,0,0,0
65,86.842,0.001376,0,1.0,0,0,0,0,0,0
66,87.122,0.049535,0,0,0,471828000,1,0,0,1
67,87.326,0.048063,0,0,0,471828000,1,0,0,1
68,87.385,0.001216,0,0,0,288000,0,0,0,1
69,87.394,0.001216,0,0,0,288000,0,0,0,1
70,87.403,0.001216,0,0,0,144000,0,0,0,1
71,87.412,0.001216,0,0,0,144000,0,0,0,1
72,87.433,17.658657,360,0.469,10,0,0,0,0,0
73,105.112,0.048224,0,0,0,471828000,1,0,0,2
74,105.4,0.00144,0,1.0,0,0,0,0,0,0
75,105.425,0.001312,0,1.0,0,0,0,0,0,0
76,105.447,0.00128,0,1.0,0,0,0,0,0,0
