id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.001376,0,1,0,0,0,0,0,0
1,295.071,0.001408,0,1,0,0,0,0,0,0
2,528.958,0.001376,0,1,0,0,0,0,0,0
3,764.573,0.001376,0,1,0,0,0,0,0,0
4,785.117,0.001312,0,1,0,0,0,0,0,0
5,1023.004,0.001408,0,1,0,0,0,0,0,0
6,1043.164,0.00128,0,1,0,0,0,0,0,0
7,1062.748,0.001312,0,1,0,0,0,0,0,0
8,1082.652,0.00128,0,1,0,0,0,0,0,0
9,1316.283,0.001376,0,0,0,216000,0,0,0,1
10,2569.045,0.004416,0,0,0,19656000,0,0,0,1
11,3048.115,0.00144,0,0,0,1944000,0,0,0,1
12,3076.243,15.089311,1,0.188,1,0,0,0,0,0
13,18170.162,0.002816,0,0,0,216000,0,0,0,2
14,18252.882,0.004864,0,0,0,19656000,0,0,0,2
15,18321.457,0.001312,0,1,0,0,0,0,0,0
16,18854.447,0.001408,0,1,0,0,0,0,0,0
17,18882.319,0.00128,0,1,0,0,0,0,0,0
18,19245.006,0.001408,0,1,0,0,0,0,0,0
19,19582.86,0.001376,0,1,0,0,0,0,0,0
20,19606.668,0.001312,0,1,0,0,0,0,0,0
21,19630.124,0.00128,0,1,0,0,0,0,0,0
22,19652.716,0.00128,0,1,0,0,0,0,0,0
23,20008.106,0.001376,0,1,0,0,0,0,0,0
