id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.001408,0,1.0,0,0,0,0,0,0
1,0.4,0.001408,0,1.0,0,0,0,0,0,0
2,1.0,0.001408,0,1.0,0,0,0,0,0,0
3,1.6,1.467896,0,0,0,5231,0,0,0,1
4,3.1,0.001536,0,1.0,0,0,0,0,0,0
5,3.6,44.918344,0,0,0,138412,0,0,0,0
6,48.5,0.001536,0,1.0,0,0,0,0,0,0
7,49.2,44.867624,0,0,0,138412,0,0,0,0
8,2297.6,0.001568,0,1.0,0,0,0,0,0,0
9,2298.6,83.585427,0,0,0,255000,0,0,0,1
10,2382.2,0.001568,0,1.0,0,0,0,0,0,0
11,2382.9,2.977103,0,0,0,10000,0,0,0,1
12,2385.9,0.001568,0,1.0,0,0,0,0,0,0
13,2386.5,2.980496,0,0,0,10000,0,0,0,1
14,2392.4,0.001536,0,1.0,0,0,0,0,0,0
15,2393.7,6.885722,0,0,0,1620000,1,0,0,0
16,2400.6,1184.79,78128,1.0,15,0,0,0,0,0
17,3585.4,765.283523,0,0,0,1620000,0,0,0,2
18,4352.0,0.00144,0,1.0,0,0,0,0,0,0
19,20074.5,0.001376,0,1.0,0,0,0,0,0,0
20,20075.2,0.001376,0,1.0,0,0,0,0,0,0
21,20075.5,0.001408,0,1.0,0,0,0,0,0,0
22,20157.2,0.001408,0,1.0,0,0,0,0,0,0
23,20157.7,0.001376,0,1.0,0,0,0,0,0,0
24,20158.1,0.001376,0,1.0,0,0,0,0,0,0
