id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.0016,0,1,0,0,0,0,0,0
1,0.255,0.001376,0,1,0,0,0,0,0,0
2,0.487,0.001376,0,1,0,0,0,0,0,0
3,0.716,0.001376,0,1,0,0,0,0,0,0
4,0.736,0.00128,0,1,0,0,0,0,0,0
5,0.966,0.001408,0,1,0,0,0,0,0,0
6,0.985,0.001248,0,1,0,0,0,0,0,0
7,1.004,0.001312,0,1,0,0,0,0,0,0
8,1.023,0.001312,0,1,0,0,0,0,0,0
9,1.262,0.001408,0,0,0,216000,0,0,0,1
10,2.422,0.00448,0,0,0,19656000,0,0,0,1
11,2.81,0.001504,0,0,0,1944000,0,0,0,1
12,2.835,14.90182,1,0.188,1,0,0,0,0,0
13,17.745,0.00288,0,0,0,216000,0,0,0,2
14,17.771,0.004992,0,0,0,19656000,0,0,0,2
15,17.807,0.00128,0,1,0,0,0,0,0,0
16,18.153,0.001376,0,1,0,0,0,0,0,0
17,18.178,0.00128,0,1,0,0,0,0,0,0
18,18.511,0.001376,0,1,0,0,0,0,0,0
19,18.845,0.001376,0,1,0,0,0,0,0,0
20,18.869,0.00128,0,1,0,0,0,0,0,0
21,18.891,0.001248,0,1,0,0,0,0,0,0
22,18.913,0.00128,0,1,0,0,0,0,0,0
23,19.244,0.001344,0,1,0,0,0,0,0,0
