id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,95.453447,0,0,0,268500996,0,0,0,1
1,95.875,95.374119,0,0,0,268500996,0,0,0,1
2,191.254,0.0192,0,0.344,0,0,0,0,0,0
3,191.277,0.019072,1,0.344,1,0,0,0,0,0
4,191.299,0.01776,1,0.344,1,0,0,0,0,0
5,191.32,0.0192,2,0.344,1,0,0,0,0,0
6,191.342,0.018336,2,0.344,1,0,0,0,0,0
7,191.363,0.018752,3,0.344,1,0,0,0,0,0
8,191.384,0.017824,3,0.344,1,0,0,0,0,0
9,191.405,0.018368,4,0.344,1,0,0,0,0,0
10,191.426,0.018176,4,0.344,1,0,0,0,0,0
11,191.447,0.018784,5,0.344,1,0,0,0,0,0
12,191.469,0.017856,5,0.344,1,0,0,0,0,0
13,191.49,0.018624,6,0.344,1,0,0,0,0,0
14,191.512,0.017664,6,0.344,1,0,0,0,0,0
15,191.533,0.019008,7,0.344,1,0,0,0,0,0
16,191.555,0.017984,7,0.344,1,0,0,0,0,0
17,191.577,0.0184,8,0.344,1,0,0,0,0,0
18,191.598,0.017631,8,0.344,1,0,0,0,0,0
19,191.618,0.01856,9,0.344,1,0,0,0,0,0
20,191.64,0.017696,9,0.344,1,0,0,0,0,0
21,191.66,0.018528,10,0.344,1,0,0,0,0,0
22,191.681,0.017664,10,0.344,1,0,0,0,0,0
23,191.701,0.018496,11,0.344,1,0,0,0,0,0
24,191.722,0.0176,11,0.344,1,0,0,0,0,0
25,191.742,0.018624,12,0.344,1,0,0,0,0,0
26,191.764,0.017856,12,0.344,1,0,0,0,0,0
27,191.784,0.018592,13,0.344,1,0,0,0,0,0
28,191.805,0.017664,13,0.344,1,0,0,0,0,0
29,191.825,0.018528,14,0.344,1,0,0,0,0,0
30,191.847,0.01776,14,0.344,1,0,0,0,0,0
31,191.868,0.018816,15,0.344,1,0,0,0,0,0
32,191.889,0.01776,15,0.344,1,0,0,0,0,0
33,191.909,0.018528,16,0.344,1,0,0,0,0,0
34,191.931,0.017728,16,0.344,1,0,0,0,0,0
35,191.951,0.018688,17,0.344,1,0,0,0,0,0
36,191.973,0.018016,17,0.344,1,0,0,0,0,0
37,191.994,0.018496,18,0.344,1,0,0,0,0,0
38,192.015,0.017888,18,0.344,1,0,0,0,0,0
39,192.035,0.018623,19,0.344,1,0,0,0,0,0
40,192.057,0.017792,19,0.344,1,0,0,0,0,0
41,192.078,0.01856,20,0.344,1,0,0,0,0,0
42,192.099,0.017984,20,0.344,1,0,0,0,0,0
43,192.12,0.018624,21,0.344,1,0,0,0,0,0
44,192.141,0.017888,21,0.344,1,0,0,0,0,0
45,192.162,0.018624,22,0.344,1,0,0,0,0,0
46,192.183,0.017888,22,0.344,1,0,0,0,0,0
47,192.204,0.01872,23,0.344,1,0,0,0,0,0
48,192.225,0.017888,23,0.344,1,0,0,0,0,0
49,192.246,0.018784,24,0.344,1,0,0,0,0,0
50,192.268,0.018176,24,0.344,1,0,0,0,0,0
51,192.289,0.018816,25,0.344,1,0,0,0,0,0
52,192.31,0.017888,25,0.344,1,0,0,0,0,0
53,192.332,0.018848,26,0.344,1,0,0,0,0,0
54,192.354,0.018048,26,0.344,1,0,0,0,0,0
55,192.375,0.018752,27,0.344,1,0,0,0,0,0
56,192.397,0.01792,27,0.344,1,0,0,0,0,0
57,192.419,0.01872,28,0.344,1,0,0,0,0,0
58,192.44,0.01808,28,0.344,1,0,0,0,0,0
59,192.461,0.018848,29,0.344,1,0,0,0,0,0
60,192.483,0.018047,29,0.344,1,0,0,0,0,0
61,192.504,0.018816,30,0.344,1,0,0,0,0,0
62,192.526,0.018112,30,0.344,1,0,0,0,0,0
63,192.547,0.019296,31,0.344,1,0,0,0,0,0
64,192.569,0.01824,31,0.344,1,0,0,0,0,0
65,192.59,0.01936,32,0.344,1,0,0,0,0,0
66,192.613,0.018496,32,0.344,1,0,0,0,0,0
67,192.634,0.019104,33,0.344,1,0,0,0,0,0
68,192.656,0.018368,33,0.344,1,0,0,0,0,0
69,192.677,0.0192,34,0.344,1,0,0,0,0,0
70,192.699,0.018624,34,0.344,1,0,0,0,0,0
71,192.721,0.019328,35,0.344,1,0,0,0,0,0
72,192.743,0.0184,35,0.344,1,0,0,0,0,0
73,192.764,0.019424,36,0.344,1,0,0,0,0,0
74,192.786,0.018528,36,0.344,1,0,0,0,0,0
75,192.808,0.019552,37,0.344,1,0,0,0,0,0
76,192.83,0.018592,37,0.344,1,0,0,0,0,0
77,192.852,0.019424,38,0.344,1,0,0,0,0,0
78,192.875,0.018528,38,0.344,1,0,0,0,0,0
79,192.896,0.019456,39,0.344,1,0,0,0,0,0
80,192.918,0.018623,39,0.344,1,0,0,0,0,0
81,192.94,0.01952,40,0.344,1,0,0,0,0,0
82,192.962,0.018496,40,0.344,1,0,0,0,0,0
83,192.984,0.019584,41,0.344,1,0,0,0,0,0
84,193.006,0.018528,41,0.344,1,0,0,0,0,0
85,193.027,0.019424,42,0.344,1,0,0,0,0,0
86,193.05,0.018624,42,0.344,1,0,0,0,0,0
87,193.071,0.019456,43,0.344,1,0,0,0,0,0
88,193.093,0.018528,43,0.344,1,0,0,0,0,0
89,193.114,0.01968,44,0.344,1,0,0,0,0,0
90,193.138,0.018528,44,0.344,1,0,0,0,0,0
91,193.159,0.019584,45,0.344,1,0,0,0,0,0
92,193.181,0.018688,45,0.344,1,0,0,0,0,0
93,193.203,0.019712,46,0.344,1,0,0,0,0,0
94,193.226,0.01872,46,0.344,1,0,0,0,0,0
95,193.248,0.01984,47,0.344,1,0,0,0,0,0
96,193.271,0.01888,47,0.344,1,0,0,0,0,0
97,193.293,0.019648,48,0.344,1,0,0,0,0,0
98,193.316,0.018912,48,0.344,1,0,0,0,0,0
99,193.338,0.019904,49,0.344,1,0,0,0,0,0
100,193.361,0.018847,49,0.344,1,0,0,0,0,0
101,193.383,0.019872,50,0.344,1,0,0,0,0,0
102,193.405,0.018944,50,0.344,1,0,0,0,0,0
103,193.428,0.019936,51,0.344,1,0,0,0,0,0
104,193.451,0.018752,51,0.344,1,0,0,0,0,0
105,193.472,0.019968,52,0.344,1,0,0,0,0,0
106,193.495,0.018944,52,0.344,1,0,0,0,0,0
107,193.517,0.01984,53,0.344,1,0,0,0,0,0
108,193.54,0.019136,53,0.344,1,0,0,0,0,0
