id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,27.018786,0,0,0,268500996,1,0,0,1
1,27.095,26.750658,0,0,0,268500996,1,0,0,1
2,53.937,0.018656,0,0.344,0,0,0,0,0,0
3,53.959,0.01904,1,0.344,1,0,0,0,0,0
4,53.981,0.017759,1,0.344,1,0,0,0,0,0
5,54.001,0.0192,2,0.344,1,0,0,0,0,0
6,54.024,0.018272,2,0.344,1,0,0,0,0,0
7,54.045,0.018688,3,0.344,1,0,0,0,0,0
8,54.066,0.01792,3,0.344,1,0,0,0,0,0
9,54.087,0.018336,4,0.344,1,0,0,0,0,0
10,54.108,0.017984,4,0.344,1,0,0,0,0,0
11,54.13,0.018784,5,0.344,1,0,0,0,0,0
12,54.152,0.01792,5,0.344,1,0,0,0,0,0
13,54.172,0.01872,6,0.344,1,0,0,0,0,0
14,54.194,0.017728,6,0.344,1,0,0,0,0,0
15,54.215,0.018912,7,0.344,1,0,0,0,0,0
16,54.237,0.017984,7,0.344,1,0,0,0,0,0
17,54.258,0.018464,8,0.344,1,0,0,0,0,0
18,54.279,0.017664,8,0.344,1,0,0,0,0,0
19,54.3,0.018432,9,0.344,1,0,0,0,0,0
20,54.321,0.01776,9,0.344,1,0,0,0,0,0
21,54.342,0.0184,10,0.344,1,0,0,0,0,0
22,54.363,0.017792,10,0.344,1,0,0,0,0,0
23,54.383,0.018464,11,0.344,1,0,0,0,0,0
24,54.405,0.017632,11,0.344,1,0,0,0,0,0
25,54.425,0.018624,12,0.344,1,0,0,0,0,0
26,54.447,0.017856,12,0.344,1,0,0,0,0,0
27,54.468,0.018592,13,0.344,1,0,0,0,0,0
28,54.49,0.017696,13,0.344,1,0,0,0,0,0
29,54.51,0.018464,14,0.344,1,0,0,0,0,0
30,54.531,0.017824,14,0.344,1,0,0,0,0,0
31,54.552,0.018624,15,0.344,1,0,0,0,0,0
32,54.573,0.017664,15,0.344,1,0,0,0,0,0
33,54.594,0.018432,16,0.344,1,0,0,0,0,0
34,54.616,0.017888,16,0.344,1,0,0,0,0,0
