id,start(ms),duration(ms),warps,t-occupancy,sms,size,input
0,0,1.403403,0,0,0,5017600,0
1,1.414,2.98655,28800,0.25,15,0,1254400
2,4.405,0.730341,32000,1,15,0,1254400
3,5.138,0.001216,0,1,0,0,0
4,5.146,0.769254,256000,1,15,0,18432000
5,5.922,6.452079,6400,0.25,15,0,4608000
6,12.38,0.236001,80000,1,15,0,4608000
7,12.619,0.001472,0,1,0,0,0
8,12.627,0.955655,640000,1,15,0,5120000
9,13.586,0.728902,384,0.25,12,0,640000000
10,14.175,0.002048,0,0,0,6400,0
11,14.199,0.036448,6400,1,13,0,800000
12,14.238,0.028992,1000,1,12,0,800000
13,14.27,0.074561,100,0.375,5,0,8000000
14,14.368,0.002016,0,0,0,6400,0
15,14.394,0.004928,400,1,4,0,16000
16,14.419,0.074656,12800,1,14,0,16000
17,14.498,0.008128,0,0,0,64000,0
