id,duration(ms),warps,t-occupancy,sms,size,input
0,2.803926,0,0,0,9893568,0
1,2.895446,6056,0.375,15,0,2473392
2,0.16125,6144,1.0,14,0,2473392
3,0.001536,0,1,0,0,0
4,0.153409,4800,1,15,0,4646400
5,0.299234,12288,1,15,0,4646400
6,0.071041,368,1.0,6,0,0
7,0.097249,34992,1,15,0,0
8,2.288177,1464,0.375,13,0,1119744
9,0.059073,2048,1,8,0,1119744
10,2.285969,1464,0.375,13,0,1119744
11,0.058433,2048,1,8,0,1119744
12,0.003008,0,1,0,0,0
13,0.103457,3888,1,12,0,2985984
14,0.199137,32768,1,15,0,2985984
15,0.155554,96,1.0,2,0,0
16,0.061216,21632,1,15,0,0
17,4.011999,688,0.25,15,0,692224
18,0.043936,6144,1,12,0,692224
19,0.001536,0,1,0,0,0
20,0.040224,1536,1,10,0,1038336
21,2.001135,344,0.25,11,0,1038336
22,0.024321,3072,1,12,0,1038336
23,2.014895,344,0.25,11,0,1038336
24,0.024544,3072,1,12,0,1038336
25,0.001536,0,1,0,0,0
26,0.040545,1536,1,10,0,1038336
27,0.725157,344,0.375,15,0,1038336
28,0.018113,2048,1,8,0,1038336
29,0.721798,344,0.375,15,0,1038336
30,0.018016,2048,1,8,0,1038336
31,0.001568,0,1,0,0,0
32,0.027329,1024,1,13,0,692224
33,0.106688,32768,1,15,0,692224
34,2.003791,9216,0.75,15,0,9216
35,0.001088,0,0,0,64,0
36,0.00576,1024,1,8,0,65536
37,0.004288,512,1,7,0,65536
38,0.909639,4096,0.75,15,0,4096
39,0.001088,0,0,0,64,0
40,0.005633,1024,1,8,0,65536
41,0.00432,512,1,7,0,65536
42,0.270978,1024,0.75,11,0,4096
43,0.001088,0,0,0,64,0
44,0.00352,256,1,2,0,16000
45,0.010176,128,1,2,0,16000
46,0.008416,0,0,0,64000,0
