id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.001376,0,0,0,0,0,0,0,0
1,0.252,0.001376,0,0,0,0,0,0,0,0
2,0.272,0.00128,0,0,0,0,0,0,0,0
3,0.291,0.00128,0,0,0,0,0,0,0,0
4,0.308,0.00128,0,0,0,0,0,0,0,0
5,0.326,0.00128,0,0,0,0,0,0,0,0
6,1.789,0.002592,0,0,0,8000000,0,0,0,1
7,1.803,0.002528,0,0,0,8000000,0,0,0,1
8,1.816,0.002528,0,0,0,8000000,0,0,0,1
9,1.829,0.002528,0,0,0,8000000,0,0,0,1
10,1.842,0.002496,0,0,0,8000000,0,0,0,1
11,1.856,0.002496,0,0,0,8000000,0,0,0,1
12,1.876,0.233855,32,1.0,1,0,0,0,0,0
13,2.126,0.003808,0,0,0,8000000,0,0,0,2
14,2.147,0.003808,0,0,0,8000000,0,0,0,2
15,3.578,0.002496,0,0,0,8000000,0,0,0,1
16,3.591,0.002624,0,0,0,8000000,0,0,0,1
17,3.604,0.002528,0,0,0,8000000,0,0,0,1
18,3.618,0.002496,0,0,0,8000000,0,0,0,1
19,3.631,0.002528,0,0,0,8000000,0,0,0,1
20,3.672,0.002496,0,0,0,8000000,0,0,0,1
21,3.69,0.312159,32,1.0,1,0,0,0,0,0
22,4.018,0.003392,0,0,0,8000000,0,0,0,2
23,4.037,0.003424,0,0,0,8000000,0,0,0,2
24,5.459,0.002528,0,0,0,8000000,0,0,0,1
25,5.472,0.002528,0,0,0,8000000,0,0,0,1
26,5.486,0.002528,0,0,0,8000000,0,0,0,1
27,5.499,0.002496,0,0,0,8000000,0,0,0,1
28,5.512,0.002592,0,0,0,8000000,0,0,0,1
29,5.526,0.002496,0,0,0,8000000,0,0,0,1
30,5.544,0.37427,32,1.0,1,0,0,0,0,0
31,5.933,0.003424,0,0,0,8000000,0,0,0,2
32,5.952,0.003392,0,0,0,8000000,0,0,0,2
33,7.38,0.002496,0,0,0,8000000,0,0,0,1
34,7.393,0.002496,0,0,0,8000000,0,0,0,1
35,7.406,0.002528,0,0,0,8000000,0,0,0,1
36,7.42,0.002528,0,0,0,8000000,0,0,0,1
37,7.433,0.002528,0,0,0,8000000,0,0,0,1
38,7.446,0.002528,0,0,0,8000000,0,0,0,1
39,7.464,0.294271,32,1.0,1,0,0,0,0,0
40,7.774,0.003392,0,0,0,8000000,0,0,0,2
41,7.793,0.003392,0,0,0,8000000,0,0,0,2
42,9.213,0.002528,0,0,0,8000000,0,0,0,1
43,9.226,0.002496,0,0,0,8000000,0,0,0,1
44,9.239,0.002496,0,0,0,8000000,0,0,0,1
45,9.252,0.002528,0,0,0,8000000,0,0,0,1
46,9.265,0.002527,0,0,0,8000000,0,0,0,1
47,9.278,0.002496,0,0,0,8000000,0,0,0,1
48,9.296,0.337407,32,1.0,1,0,0,0,0,0
49,9.648,0.003392,0,0,0,8000000,0,0,0,2
50,9.667,0.003392,0,0,0,8000000,0,0,0,2
51,11.129,0.002528,0,0,0,8000000,0,0,0,1
52,11.142,0.002496,0,0,0,8000000,0,0,0,1
53,11.155,0.00256,0,0,0,8000000,0,0,0,1
54,11.169,0.002496,0,0,0,8000000,0,0,0,1
55,11.182,0.002496,0,0,0,8000000,0,0,0,1
56,11.195,0.002496,0,0,0,8000000,0,0,0,1
57,11.213,0.285951,32,1.0,1,0,0,0,0,0
58,11.527,0.003424,0,0,0,8000000,0,0,0,2
59,11.546,0.003424,0,0,0,8000000,0,0,0,2
60,12.993,0.002528,0,0,0,8000000,0,0,0,1
61,13.006,0.002496,0,0,0,8000000,0,0,0,1
62,13.019,0.002496,0,0,0,8000000,0,0,0,1
63,13.032,0.002528,0,0,0,8000000,0,0,0,1
64,13.046,0.002496,0,0,0,8000000,0,0,0,1
65,13.059,0.002496,0,0,0,8000000,0,0,0,1
66,13.077,0.365342,32,1.0,1,0,0,0,0,0
67,13.457,0.003424,0,0,0,8000000,0,0,0,2
68,13.477,0.003424,0,0,0,8000000,0,0,0,2
69,14.939,0.002496,0,0,0,8000000,0,0,0,1
70,14.952,0.002528,0,0,0,8000000,0,0,0,1
71,14.966,0.002496,0,0,0,8000000,0,0,0,1
72,14.979,0.002624,0,0,0,8000000,0,0,0,1
73,14.992,0.002528,0,0,0,8000000,0,0,0,1
74,15.004,0.002528,0,0,0,8000000,0,0,0,1
75,15.023,0.363838,32,1.0,1,0,0,0,0,0
76,15.402,0.003424,0,0,0,8000000,0,0,0,2
77,15.421,0.003392,0,0,0,8000000,0,0,0,2
78,16.841,0.002592,0,0,0,8000000,0,0,0,1
79,16.854,0.002528,0,0,0,8000000,0,0,0,1
80,16.868,0.002528,0,0,0,8000000,0,0,0,1
81,16.881,0.002496,0,0,0,8000000,0,0,0,1
82,16.894,0.002528,0,0,0,8000000,0,0,0,1
83,16.907,0.002496,0,0,0,8000000,0,0,0,1
84,16.924,0.162432,32,1.0,1,0,0,0,0,0
85,17.102,0.003616,0,0,0,8000000,0,0,0,2
86,17.122,0.003392,0,0,0,8000000,0,0,0,2
87,17.152,0.001504,0,0,0,0,0,0,0,0
88,17.177,0.00128,0,0,0,0,0,0,0,0
89,17.199,0.001312,0,0,0,0,0,0,0,0
90,17.22,0.00128,0,0,0,0,0,0,0,0
91,17.242,0.001312,0,0,0,0,0,0,0,0
92,17.264,0.001248,0,0,0,0,0,0,0,0
