id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.001536,0,1,0,0,0,0,0,0
1,38.0,0.001824,0,0,0,4096,0,0,0,1
2,58.0,0.006624,0,0,0,32768,0,0,0,1
3,72.0,0.004,0,0,0,1024,0,0,0,0
4,82.0,0.004608,0,0,0,61500,1,0,0,0
5,114.0,0.093279,32,1,1,0,0,0,0,0
6,235.0,0.00848,0,0,0,61500,0,0,0,2
7,300.0,0.002688,0,0,0,1024,0,0,0,2
8,704.0,0.001312,0,1,0,0,0,0,0,0
9,764.0,0.001536,0,1,0,0,0,0,0,0
10,1028.0,0.001856,0,0,0,4096,0,0,0,1
11,1048.0,0.015584,0,0,0,32768,0,0,0,1
12,1071.0,0.00464,0,0,0,1024,0,0,0,0
13,1081.0,0.004192,0,0,0,8200,0,0,0,0
14,1112.0,0.09312,32,1,1,0,0,0,0,0
15,1233.0,0.003904,0,0,0,8200,0,0,0,2
16,1253.0,0.002976,0,0,0,1024,0,0,0,2
17,1302.0,0.001312,0,1,0,0,0,0,0,0
18,1701.0,0.001632,0,1,0,0,0,0,0,0
19,1949.0,0.001856,0,0,0,4096,0,0,0,1
20,1982.0,0.006656,0,0,0,32768,0,0,0,1
21,1998.0,0.00464,0,0,0,1024,0,0,0,0
22,2007.0,0.004224,0,0,0,8200,0,0,0,0
23,2039.0,0.093535,32,1,1,0,0,0,0,0
24,2160.0,0.00384,0,0,0,8200,0,0,0,2
25,2180.0,0.002944,0,0,0,1024,0,0,0,2
26,2229.0,0.001312,0,1,0,0,0,0,0,0
27,2598.0,0.0016,0,1,0,0,0,0,0,0
28,2833.0,0.001856,0,0,0,4096,0,0,0,1
29,2851.0,0.006656,0,0,0,32768,0,0,0,1
30,2866.0,0.00464,0,0,0,1024,0,0,0,0
31,2875.0,0.004224,0,0,0,8200,0,0,0,0
32,2907.0,0.093312,32,1,1,0,0,0,0,0
33,3028.0,0.003872,0,0,0,8200,0,0,0,2
34,3048.0,0.002944,0,0,0,1024,0,0,0,2
35,3098.0,0.001312,0,1,0,0,0,0,0,0
36,3457.0,0.0016,0,1,0,0,0,0,0,0
37,3690.0,0.001856,0,0,0,4096,0,0,0,1
38,3709.0,0.006656,0,0,0,32768,0,0,0,1
39,3723.0,0.00464,0,0,0,1024,0,0,0,0
40,3732.0,0.004224,0,0,0,8200,0,0,0,0
41,3764.0,0.093151,32,1,1,0,0,0,0,0
42,3885.0,0.004064,0,0,0,8200,0,0,0,2
43,3905.0,0.002944,0,0,0,1024,0,0,0,2
44,3954.0,0.001312,0,1,0,0,0,0,0,0
45,4312.0,0.001632,0,1,0,0,0,0,0,0
46,4544.0,0.001824,0,0,0,4096,0,0,0,1
47,4563.0,0.006656,0,0,0,32768,0,0,0,1
48,4577.0,0.004672,0,0,0,1024,0,0,0,0
49,4587.0,0.004224,0,0,0,8200,0,0,0,0
50,4619.0,0.093088,32,1,1,0,0,0,0,0
51,4739.0,0.00384,0,0,0,8200,0,0,0,2
52,4759.0,0.002944,0,0,0,1024,0,0,0,2
53,4809.0,0.00128,0,1,0,0,0,0,0,0
54,5168.0,0.0016,0,1,0,0,0,0,0,0
55,5400.0,0.001856,0,0,0,4096,0,0,0,1
56,5419.0,0.006656,0,0,0,32768,0,0,0,1
57,5434.0,0.00464,0,0,0,1024,0,0,0,0
58,5444.0,0.004224,0,0,0,8200,0,0,0,0
59,5475.0,0.093599,32,1,1,0,0,0,0,0
60,5596.0,0.00384,0,0,0,8200,0,0,0,2
61,5616.0,0.002944,0,0,0,1024,0,0,0,2
62,5665.0,0.001312,0,1,0,0,0,0,0,0
63,6021.0,0.001632,0,1,0,0,0,0,0,0
64,6252.0,0.001824,0,0,0,4096,0,0,0,1
65,6272.0,0.006656,0,0,0,32768,0,0,0,1
66,6286.0,0.004608,0,0,0,1024,0,0,0,0
67,6295.0,0.004224,0,0,0,8200,0,0,0,0
68,6333.0,0.092575,32,1,1,0,0,0,0,0
69,6453.0,0.00384,0,0,0,8200,0,0,0,2
70,6474.0,0.002912,0,0,0,1024,0,0,0,2
71,6524.0,0.001312,0,1,0,0,0,0,0,0
72,6883.0,0.0016,0,1,0,0,0,0,0,0
73,7124.0,0.001856,0,0,0,4096,0,0,0,1
74,7143.0,0.006656,0,0,0,32768,0,0,0,1
75,7158.0,0.004639,0,0,0,1024,0,0,0,0
76,7167.0,0.004224,0,0,0,8200,0,0,0,0
77,7198.0,0.093472,32,1,1,0,0,0,0,0
78,7318.0,0.003839,0,0,0,8200,0,0,0,2
79,7337.0,0.002944,0,0,0,1024,0,0,0,2
