id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,19.386065,0,0,0,64000000,0,0,0,1
1,19.392,0.769595,500000,1.0,15,0,0,0,0,0
2,20.165,0.954171,500000,1.0,15,0,0,0,0,0
3,21.122,4.855268,500000,1.0,15,0,0,0,0,0
4,25.983,0.054495,992,1.0,8,0,0,0,0,0
5,26.041,0.01888,16,1.0,1,0,0,0,0,0
6,26.063,2.920336,500000,1.0,15,0,0,0,0,0
7,28.987,2.30789,500000,1.0,15,0,0,0,0,0
8,31.3,0.747996,500000,1.0,15,0,0,0,0,0
9,32.052,20.461642,0,0,0,64000000,0,0,0,2
