id,start(ms),duration(ms),warps,t-occupancy,sms,size,pinned,cudaMalloc,cudaFree,direction
0,0,0.001312,0,0,0,0,0,0,0,0
1,0.07,0.001856,0,0,0,4096,0,0,0,1
2,0.09,0.006656,0,0,0,32768,0,0,0,1
3,0.11,0.004,0,0,0,1024,0,0,0,0
4,0.12,0.004671,0,0,0,61500,1,0,0,0
5,0.16,0.094272,32,1.0,1,0,0,0,0,0
6,0.29,0.008512,0,0,0,61500,0,0,0,2
7,0.35,0.002752,0,0,0,1024,0,0,0,2
8,0.75,0.001504,0,0,0,0,0,0,0,0
9,0.81,0.001312,0,0,0,0,0,0,0,0
10,1.16,0.001856,0,0,0,4096,0,0,0,1
11,1.18,0.006688,0,0,0,32768,0,0,0,1
12,1.2,0.0048,0,0,0,1024,0,0,0,0
13,1.21,0.004224,0,0,0,8200,0,0,0,0
14,1.24,0.09248,32,1.0,1,0,0,0,0,0
15,1.36,0.003904,0,0,0,8200,0,0,0,2
16,1.38,0.003136,0,0,0,1024,0,0,0,2
17,1.43,0.001504,0,0,0,0,0,0,0,0
18,1.84,0.001376,0,0,0,0,0,0,0,0
19,2.09,0.001888,0,0,0,4096,0,0,0,1
20,2.11,0.006688,0,0,0,32768,0,0,0,1
21,2.13,0.004672,0,0,0,1024,0,0,0,0
22,2.14,0.004256,0,0,0,8200,0,0,0,0
23,2.17,0.093568,32,1.0,1,0,0,0,0,0
24,2.29,0.003904,0,0,0,8200,0,0,0,2
25,2.31,0.003008,0,0,0,1024,0,0,0,2
26,2.36,0.001504,0,0,0,0,0,0,0,0
27,2.73,0.001376,0,0,0,0,0,0,0,0
28,2.98,0.001856,0,0,0,4096,0,0,0,1
29,3.0,0.006656,0,0,0,32768,0,0,0,1
30,3.01,0.004639,0,0,0,1024,0,0,0,0
31,3.02,0.004256,0,0,0,8200,0,0,0,0
32,3.05,0.093152,32,1.0,1,0,0,0,0,0
33,3.17,0.003904,0,0,0,8200,0,0,0,2
34,3.19,0.002976,0,0,0,1024,0,0,0,2
35,3.24,0.001504,0,0,0,0,0,0,0,0
36,3.62,0.001376,0,0,0,0,0,0,0,0
37,3.86,0.001824,0,0,0,4096,0,0,0,1
38,3.88,0.006656,0,0,0,32768,0,0,0,1
39,3.9,0.00464,0,0,0,1024,0,0,0,0
40,3.9,0.004224,0,0,0,8200,0,0,0,0
41,3.94,0.092608,32,1.0,1,0,0,0,0,0
42,4.06,0.003904,0,0,0,8200,0,0,0,2
43,4.08,0.003008,0,0,0,1024,0,0,0,2
44,4.13,0.001472,0,0,0,0,0,0,0,0
45,4.5,0.001376,0,0,0,0,0,0,0,0
46,4.74,0.001888,0,0,0,4096,0,0,0,1
47,4.76,0.006656,0,0,0,32768,0,0,0,1
48,4.77,0.00464,0,0,0,1024,0,0,0,0
49,4.79,0.004256,0,0,0,8200,0,0,0,0
50,4.83,0.092608,32,1.0,1,0,0,0,0,0
51,4.95,0.003872,0,0,0,8200,0,0,0,2
52,4.97,0.002944,0,0,0,1024,0,0,0,2
53,5.02,0.001472,0,0,0,0,0,0,0,0
54,5.4,0.001344,0,0,0,0,0,0,0,0
55,5.64,0.001856,0,0,0,4096,0,0,0,1
56,5.66,0.006688,0,0,0,32768,0,0,0,1
57,5.68,0.00464,0,0,0,1024,0,0,0,0
58,5.69,0.004256,0,0,0,8200,0,0,0,0
59,5.72,0.093119,32,1.0,1,0,0,0,0,0
60,5.84,0.003936,0,0,0,8200,0,0,0,2
61,5.86,0.003264,0,0,0,1024,0,0,0,2
62,5.92,0.001472,0,0,0,0,0,0,0,0
63,6.28,0.001408,0,0,0,0,0,0,0,0
64,6.52,0.001856,0,0,0,4096,0,0,0,1
65,6.54,0.006688,0,0,0,32768,0,0,0,1
66,6.55,0.004768,0,0,0,1024,0,0,0,0
67,6.56,0.004256,0,0,0,8200,0,0,0,0
68,6.6,0.093375,32,1.0,1,0,0,0,0,0
69,6.72,0.003904,0,0,0,8200,0,0,0,2
70,6.74,0.003008,0,0,0,1024,0,0,0,2
71,6.79,0.001472,0,0,0,0,0,0,0,0
72,7.16,0.00144,0,0,0,0,0,0,0,0
73,7.39,0.001856,0,0,0,4096,0,0,0,1
74,7.42,0.006656,0,0,0,32768,0,0,0,1
75,7.43,0.00464,0,0,0,1024,0,0,0,0
76,7.44,0.004256,0,0,0,8200,0,0,0,0
77,7.47,0.093599,32,1.0,1,0,0,0,0,0
78,7.59,0.003904,0,0,0,8200,0,0,0,2
79,7.61,0.002976,0,0,0,1024,0,0,0,2
80,7.69,0.001504,0,0,0,0,0,0,0,0
81,8.06,0.001408,0,0,0,0,0,0,0,0
82,8.3,0.001856,0,0,0,4096,0,0,0,1
83,8.32,0.006688,0,0,0,32768,0,0,0,1
84,8.33,0.00464,0,0,0,1024,0,0,0,0
85,8.34,0.004224,0,0,0,8200,0,0,0,0
86,8.37,0.092991,32,1.0,1,0,0,0,0,0
87,8.5,0.003936,0,0,0,8200,0,0,0,2
88,8.52,0.002976,0,0,0,1024,0,0,0,2
89,8.57,0.001536,0,0,0,0,0,0,0,0
90,8.93,0.001408,0,0,0,0,0,0,0,0
91,9.17,0.001856,0,0,0,4096,0,0,0,1
92,9.19,0.006656,0,0,0,32768,0,0,0,1
93,9.2,0.00464,0,0,0,1024,0,0,0,0
94,9.21,0.004224,0,0,0,8200,0,0,0,0
95,9.24,0.093023,32,1.0,1,0,0,0,0,0
96,9.37,0.003904,0,0,0,8200,0,0,0,2
97,9.39,0.002976,0,0,0,1024,0,0,0,2
98,9.79,0.001472,0,0,0,0,0,0,0,0
99,10.18,0.001376,0,0,0,0,0,0,0,0
100,10.41,0.001855,0,0,0,4096,0,0,0,1
101,10.43,0.006688,0,0,0,32768,0,0,0,1
102,10.45,0.00464,0,0,0,1024,0,0,0,0
103,10.46,0.004256,0,0,0,8200,0,0,0,0
104,10.49,0.093312,32,1.0,1,0,0,0,0,0
105,10.61,0.003872,0,0,0,8200,0,0,0,2
106,10.63,0.003008,0,0,0,1024,0,0,0,2
107,10.68,0.001504,0,0,0,0,0,0,0,0
108,11.05,0.001408,0,0,0,0,0,0,0,0
109,11.28,0.001856,0,0,0,4096,0,0,0,1
110,11.3,0.006688,0,0,0,32768,0,0,0,1
111,11.32,0.00464,0,0,0,1024,0,0,0,0
112,11.33,0.004256,0,0,0,8200,0,0,0,0
113,11.36,0.09328,32,1.0,1,0,0,0,0,0
114,11.48,0.003904,0,0,0,8200,0,0,0,2
115,11.5,0.002976,0,0,0,1024,0,0,0,2
116,11.55,0.001504,0,0,0,0,0,0,0,0
117,11.92,0.001408,0,0,0,0,0,0,0,0
118,12.15,0.001888,0,0,0,4096,0,0,0,1
119,12.17,0.006688,0,0,0,32768,0,0,0,1
120,12.19,0.00464,0,0,0,1024,0,0,0,0
121,12.2,0.004256,0,0,0,8200,0,0,0,0
122,12.23,0.0928,32,1.0,1,0,0,0,0,0
123,12.35,0.003904,0,0,0,8200,0,0,0,2
124,12.37,0.003008,0,0,0,1024,0,0,0,2
125,12.42,0.001472,0,0,0,0,0,0,0,0
126,12.79,0.001376,0,0,0,0,0,0,0,0
127,13.02,0.001856,0,0,0,4096,0,0,0,1
128,13.05,0.006656,0,0,0,32768,0,0,0,1
129,13.06,0.00464,0,0,0,1024,0,0,0,0
130,13.07,0.004224,0,0,0,8200,0,0,0,0
131,13.1,0.092799,32,1.0,1,0,0,0,0,0
132,13.22,0.003904,0,0,0,8200,0,0,0,2
133,13.24,0.002976,0,0,0,1024,0,0,0,2
134,13.3,0.001504,0,0,0,0,0,0,0,0
135,13.66,0.001376,0,0,0,0,0,0,0,0
136,13.9,0.001856,0,0,0,4096,0,0,0,1
137,13.92,0.006688,0,0,0,32768,0,0,0,1
138,13.94,0.00464,0,0,0,1024,0,0,0,0
139,13.95,0.004224,0,0,0,8200,0,0,0,0
140,13.98,0.093311,32,1.0,1,0,0,0,0,0
141,14.1,0.003904,0,0,0,8200,0,0,0,2
142,14.12,0.002976,0,0,0,1024,0,0,0,2
143,14.17,0.001472,0,0,0,0,0,0,0,0
144,14.55,0.001344,0,0,0,0,0,0,0,0
145,14.79,0.001856,0,0,0,4096,0,0,0,1
146,14.81,0.006656,0,0,0,32768,0,0,0,1
147,14.82,0.00464,0,0,0,1024,0,0,0,0
148,14.83,0.004256,0,0,0,8200,0,0,0,0
149,14.88,0.093663,32,1.0,1,0,0,0,0,0
150,15.0,0.00384,0,0,0,8200,0,0,0,2
151,15.03,0.002944,0,0,0,1024,0,0,0,2
152,15.45,0.001504,0,0,0,0,0,0,0,0
153,15.82,0.001376,0,0,0,0,0,0,0,0
154,16.06,0.001888,0,0,0,4096,0,0,0,1
155,16.08,0.006688,0,0,0,32768,0,0,0,1
156,16.09,0.00464,0,0,0,1024,0,0,0,0
157,16.1,0.004224,0,0,0,8200,0,0,0,0
158,16.14,0.092735,32,1.0,1,0,0,0,0,0
159,16.26,0.003872,0,0,0,8200,0,0,0,2
160,16.27,0.0032,0,0,0,1024,0,0,0,2
161,16.33,0.001504,0,0,0,0,0,0,0,0
162,16.69,0.001408,0,0,0,0,0,0,0,0
163,16.93,0.001856,0,0,0,4096,0,0,0,1
164,16.95,0.006688,0,0,0,32768,0,0,0,1
165,16.97,0.00464,0,0,0,1024,0,0,0,0
166,16.98,0.004224,0,0,0,8200,0,0,0,0
167,17.01,0.092575,32,1.0,1,0,0,0,0,0
168,17.13,0.003904,0,0,0,8200,0,0,0,2
169,17.15,0.002976,0,0,0,1024,0,0,0,2
170,17.2,0.001504,0,0,0,0,0,0,0,0
171,17.57,0.00144,0,0,0,0,0,0,0,0
172,17.82,0.001856,0,0,0,4096,0,0,0,1
173,17.84,0.006656,0,0,0,32768,0,0,0,1
174,17.85,0.00464,0,0,0,1024,0,0,0,0
175,17.86,0.004224,0,0,0,8200,0,0,0,0
176,17.9,0.092896,32,1.0,1,0,0,0,0,0
177,18.02,0.004,0,0,0,8200,0,0,0,2
178,18.04,0.002944,0,0,0,1024,0,0,0,2
179,18.09,0.001504,0,0,0,0,0,0,0,0
180,18.46,0.001376,0,0,0,0,0,0,0,0
181,18.71,0.001856,0,0,0,4096,0,0,0,1
182,18.73,0.006656,0,0,0,32768,0,0,0,1
183,18.74,0.004608,0,0,0,1024,0,0,0,0
184,18.75,0.010656,0,0,0,8200,0,0,0,0
185,18.79,0.093152,32,1.0,1,0,0,0,0,0
186,18.91,0.003872,0,0,0,8200,0,0,0,2
187,18.93,0.003008,0,0,0,1024,0,0,0,2
188,18.98,0.001472,0,0,0,0,0,0,0,0
189,19.34,0.00144,0,0,0,0,0,0,0,0
190,19.58,0.001888,0,0,0,4096,0,0,0,1
191,19.6,0.006656,0,0,0,32768,0,0,0,1
192,19.62,0.004672,0,0,0,1024,0,0,0,0
193,19.63,0.004224,0,0,0,8200,0,0,0,0
194,19.66,0.09296,32,1.0,1,0,0,0,0,0
195,19.78,0.003904,0,0,0,8200,0,0,0,2
196,19.8,0.002975,0,0,0,1024,0,0,0,2
197,19.85,0.001504,0,0,0,0,0,0,0,0
198,20.21,0.001408,0,0,0,0,0,0,0,0
199,20.45,0.001856,0,0,0,4096,0,0,0,1
200,20.47,0.006688,0,0,0,32768,0,0,0,1
201,20.49,0.00464,0,0,0,1024,0,0,0,0
202,20.5,0.004224,0,0,0,8200,0,0,0,0
203,20.53,0.09248,32,1.0,1,0,0,0,0,0
204,20.65,0.003904,0,0,0,8200,0,0,0,2
205,20.67,0.003008,0,0,0,1024,0,0,0,2
206,20.72,0.001472,0,0,0,0,0,0,0,0
207,21.08,0.00144,0,0,0,0,0,0,0,0
208,21.32,0.001856,0,0,0,4096,0,0,0,1
209,21.34,0.006656,0,0,0,32768,0,0,0,1
210,21.36,0.00464,0,0,0,1024,0,0,0,0
211,21.36,0.004256,0,0,0,8200,0,0,0,0
212,21.4,0.093023,32,1.0,1,0,0,0,0,0
213,21.52,0.003872,0,0,0,8200,0,0,0,2
214,21.54,0.002976,0,0,0,1024,0,0,0,2
215,21.59,0.001472,0,0,0,0,0,0,0,0
216,21.96,0.001376,0,0,0,0,0,0,0,0
217,22.2,0.001856,0,0,0,4096,0,0,0,1
218,22.22,0.006656,0,0,0,32768,0,0,0,1
219,22.23,0.00464,0,0,0,1024,0,0,0,0
220,22.24,0.004256,0,0,0,8200,0,0,0,0
221,22.27,0.092703,32,1.0,1,0,0,0,0,0
222,22.4,0.003904,0,0,0,8200,0,0,0,2
223,22.42,0.003008,0,0,0,1024,0,0,0,2
224,22.47,0.001472,0,0,0,0,0,0,0,0
225,22.83,0.001376,0,0,0,0,0,0,0,0
226,23.07,0.001856,0,0,0,4096,0,0,0,1
227,23.09,0.006688,0,0,0,32768,0,0,0,1
228,23.1,0.00464,0,0,0,1024,0,0,0,0
229,23.11,0.004224,0,0,0,8200,0,0,0,0
230,23.14,0.092767,32,1.0,1,0,0,0,0,0
231,23.26,0.003904,0,0,0,8200,0,0,0,2
232,23.28,0.00304,0,0,0,1024,0,0,0,2
233,23.33,0.001504,0,0,0,0,0,0,0,0
234,23.7,0.00144,0,0,0,0,0,0,0,0
235,23.93,0.001856,0,0,0,4096,0,0,0,1
236,23.95,0.006655,0,0,0,32768,0,0,0,1
237,23.97,0.0048,0,0,0,1024,0,0,0,0
238,23.98,0.004224,0,0,0,8200,0,0,0,0
239,24.01,0.093728,32,1.0,1,0,0,0,0,0
240,24.13,0.003903,0,0,0,8200,0,0,0,2
241,24.15,0.003136,0,0,0,1024,0,0,0,2
242,24.2,0.001472,0,0,0,0,0,0,0,0
243,24.57,0.001376,0,0,0,0,0,0,0,0
244,24.8,0.001856,0,0,0,4096,0,0,0,1
245,24.84,0.006688,0,0,0,32768,0,0,0,1
246,24.85,0.00464,0,0,0,1024,0,0,0,0
247,24.86,0.004256,0,0,0,8200,0,0,0,0
248,24.91,0.09328,32,1.0,1,0,0,0,0,0
249,25.03,0.003904,0,0,0,8200,0,0,0,2
250,25.05,0.003008,0,0,0,1024,0,0,0,2
251,25.12,0.00144,0,0,0,0,0,0,0,0
252,25.51,0.001408,0,0,0,0,0,0,0,0
253,25.75,0.001856,0,0,0,4096,0,0,0,1
254,25.78,0.006656,0,0,0,32768,0,0,0,1
255,25.79,0.00464,0,0,0,1024,0,0,0,0
256,25.8,0.004224,0,0,0,8200,0,0,0,0
257,25.83,0.092224,32,1.0,1,0,0,0,0,0
258,25.95,0.003904,0,0,0,8200,0,0,0,2
259,25.97,0.003008,0,0,0,1024,0,0,0,2
260,26.03,0.001504,0,0,0,0,0,0,0,0
261,26.39,0.001408,0,0,0,0,0,0,0,0
262,26.63,0.001888,0,0,0,4096,0,0,0,1
263,26.65,0.006656,0,0,0,32768,0,0,0,1
264,26.66,0.004671,0,0,0,1024,0,0,0,0
265,26.67,0.004384,0,0,0,8200,0,0,0,0
266,26.7,0.092704,32,1.0,1,0,0,0,0,0
267,26.83,0.003904,0,0,0,8200,0,0,0,2
268,26.85,0.003104,0,0,0,1024,0,0,0,2
269,26.9,0.001472,0,0,0,0,0,0,0,0
270,27.26,0.001408,0,0,0,0,0,0,0,0
271,27.5,0.001856,0,0,0,4096,0,0,0,1
